YEAR,STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
2022,United States,,"112,030,874",,"261,375,801",7.5%,"1,159,791","863,136","340,972","2,517,938","3,129,152","242,383,830",46.22%,42.86%
2022,Alabama,AL,"1,424,087",,"3,970,392",2.3%,"25,328","24,652","8,245","66,284",,"3,812,789",37.35%,35.87%
2022,Alaska,AK,"267,047",,"557,266",3.5%,"4,578","1,268","1,003","7,263",,"530,443",50.34%,47.92%
2022,Arizona,AZ,"2,592,313",,"5,802,769",7.9%,"34,997","37,932","6,887","92,217",,"5,253,874",49.34%,44.67%
2022,Arkansas,AR,"914,227",,"2,353,877",3.6%,"15,850","20,733","25,852","69,213",,"2,198,983",41.58%,38.84%
2022,California,CA,"11,146,610",,"30,534,379",14.6%,"97,328",0,0,"97,328",,"25,988,192",42.89%,36.51%
2022,Colorado,CO,"2,540,666",,"4,639,408",5.8%,"14,990",0,0,"14,990",,"4,353,940",58.35%,54.76%
2022,Connecticut,CT,"1,297,811",,"2,897,642",7.6%,"9,297",0,0,"9,297",,"2,668,414",48.64%,44.79%
2022,Delaware,DE,"325,632",,"814,324",5.1%,"4,653","5,278",373,"12,030",,"760,519",42.82%,39.99%
2022,District of Columbia,DC,"205,774",,"548,172",7.7%,0,0,0,0,,"506,237",40.65%,37.54%
2022,Florida,FL,"7,796,916",,"18,066,773",9.4%,"81,027","93,389","4,280","209,227",,"16,166,496",48.23%,43.16%
2022,Georgia,GA,"3,964,926",,"8,442,784",5.9%,"44,796","177,546","19,447","299,832",,"7,641,451",51.89%,46.96%
2022,Hawaii,HI,"423,443",,"1,141,954",8.2%,"4,097",0,0,"4,097",,"1,044,103",40.56%,37.08%
2022,Idaho,ID,"595,350",,"1,486,327",4.0%,"7,996","14,257","5,967","32,881",,"1,393,993",42.71%,40.06%
2022,Illinois,IL,"4,144,125",,"9,845,624",7.9%,"28,582",0,0,"28,582",,"9,035,299",45.87%,42.09%
2022,Indiana,IN,"1,880,755",,"5,270,771",3.7%,"23,458",0,0,"23,458",,"5,054,930",37.21%,35.68%
2022,Iowa,IA,"1,230,417",,"2,478,135",3.1%,"8,128","12,916","7,261","32,528",,"2,368,289",51.95%,49.65%
2022,Kansas,KS,"1,008,998",,"2,247,751",4.7%,"8,477","8,254","5,428","24,858",,"2,117,923",47.64%,44.89%
2022,Kentucky,KY,"1,502,550",,"3,510,590",2.5%,"18,433","28,839","14,429","71,129",,"3,350,643",44.84%,42.80%
2022,Louisiana,LA,"1,410,466",,"3,520,645",2.9%,"26,851","14,507","21,566","67,667",,"3,351,583",42.08%,40.06%
2022,Maine,ME,"680,909",,"1,140,612",1.9%,0,0,0,0,,"1,118,712",60.87%,59.70%
2022,Maryland,MD,"2,031,635",,"4,817,349",8.1%,14918,0,0,"14,918",,"4,413,671",46.03%,42.17%
2022,Massachusetts,MA,"2,511,461",,"5,646,479",8.9%,"5,993",0,0,"5,993",,"5,136,820",48.89%,44.48%
2022,Michigan,MI,"4,500,400",,"7,930,205",3.3%,"33,246",0,0,"33,246",,"7,637,642",58.92%,56.75%
2022,Minnesota,MN,"2,526,646",,"4,427,863",4.0%,"7,681","44,332","7,359","73,865",,"4,175,998",60.50%,57.06%
2022,Mississippi,MS,"709,100",,"2,260,910",1.4%,"17,569","15,092","10,510","48,106",,"2,181,152",32.51%,31.36%
2022,Missouri,MO,"2,304,250",,"4,817,369",2.3%,"22,890","20,149","20,729","70,356",,"4,637,177",49.69%,47.83%
2022,Montana,MT,"468,326",,"894,266",1.4%,"3,910",0,0,"3,910",,"878,283",53.32%,52.37%
2022,Nebraska,NE,"682,716",,"1,493,472",4.7%,"5,071","5,956",1156,"14,130",,"1,408,551",48.47%,45.71%
2022,Nevada,NV,"1,023,617",,"2,498,810",10.3%,"10,455",0,0,"10,455",,"2,229,978",45.90%,40.96%
2022,New Hampshire,NH,"626,931",,"1,145,440",2.6%,"2,158",0,0,"2,158",,"1,113,501",56.30%,54.73%
2022,New Jersey,NJ,"2,645,539",,"7,269,562",11.2%,"11,896",0,0,"11,896",,"6,442,021",41.07%,36.39%
2022,New Mexico,NM,"714,754",,"1,655,367",6.0%,"5,377","6,075","2,725","16,163",,"1,540,379",46.40%,43.18%
2022,New York,NY,"5,962,278",,"15,654,547",10.3%,"32,574",0,0,"32,574",,"14,006,423",42.57%,38.09%
2022,North Carolina,NC,"3,790,202",,"8,444,034",5.4%,"28,406",0,0,"28,406",,"7,962,183",47.60%,44.89%
2022,North Dakota,ND,"242,566",,"597,057",2.7%,"1,384",0,0,"1,384",,"579,792",41.84%,40.63%
2022,Ohio,OH,"4,201,368",,"9,196,623",2.5%,"44,608",0,0,"44,608",,"8,918,421",47.11%,45.68%
2022,Oklahoma,OK,"1,153,284",,"3,075,212",4.1%,"22,071","11,974","2,237","40,197",,"2,908,317",39.65%,37.50%
2022,Oregon,OR,"1,997,689",,"3,402,435",5.5%,"12,753",0,0,"12,753",,"3,201,528",62.40%,58.71%
2022,Pennsylvania,PA,"5,410,022",,"10,342,240",3.6%,"38,938",0,0,"38,938",,"9,929,947",54.48%,52.31%
2022,Rhode Island,RI,"361,449",,"889,585",6.8%,"2,227",0,0,"2,227",,"827,311",43.69%,40.63%
2022,South Carolina,SC,"1,718,626",,"4,190,429",3.3%,"15,787","13,722","4,638","38,633",,"4,013,931",42.82%,41.01%
2022,South Dakota,SD,"354,670",,"694,652",2.2%,"3,176",3926,"3,673","12,059",,"667,172",53.16%,51.06%
2022,Tennessee,TN,"1,756,397",,"5,537,627",3.5%,"22,205","31,486","12,407","76,392",,"5,268,526",33.34%,31.72%
2022,Texas,TX,"8,151,590",,"22,711,852",12.2%,"128,653","173,864","110,437","469,794",,"19,468,941",41.87%,35.89%
2022,Utah,UT,"1,084,634",,"2,464,872",5.9%,"5,249",0,0,"5,249",,"2,314,196",46.87%,44.00%
2022,Vermont,VT,"291,955",,"532,708",2.0%,0,0,0,0,,"522,214",55.91%,54.81%
2022,Virginia,VA,"3,021,956",,"6,827,106",6.0%,"30,620","33,426","2,017","76,990",,"6,339,807",47.67%,44.26%
2022,Washington,WA,"3,067,686",,"6,158,975",8.8%,"15,056","37,534","14,536","79,397",,"5,537,589",55.40%,49.81%
2022,West Virginia,WV,"494,753",,"1,420,780",0.9%,"6,031","3,246","3,682","14,021",,"1,393,972",35.49%,34.82%
2022,Wisconsin,WI,"2,673,154",,"4,655,469",3.1%,"19,846","19,960","23,174","69,506",,"4,443,971",60.15%,57.42%
2022,Wyoming,WY,"198,198",,"452,309",2.5%,"2,034","2,822",954,"6,733",,"434,223",45.64%,43.82%
2020,United States,,159738337,,259219518,7.5%,1154741,863136,499380,2671296,4971025,242077783,65.99%,61.62%
2020,Alabama,AL,2325000,,3939759,2.3%,25328,24652,8245,66284,,3782861,61.46%,59.01%
2020,Alaska,AK,361400,,556443,3.5%,4578,1268,1003,7263,,529649,68.23%,64.95%
2020,Arizona,AZ,3420585,,5672442,7.9%,34997,37932,6887,92217,,5133804,66.63%,60.30%
