"cid","ad_id","race","sponsor_type","total_spend","page_name","funding_entity","ad_creative_body","ad_creative_link_caption","ad_creative_link_title","ad_creative_link_description","asr_text","ocr_text","checksum","ad_snapshot_url"
"cid_2024_100547","x_978579337367181","house","noncandidate",1249.5,"Realtors for Juan Ciscomani","National Association of REALTORS®","[]","[realtorsforciscomani.com]","[Vote Ciscomani on November 5th!]","","","VOTE JUAN CISCOMANI IN THE GENERAL ELECTION ON NOVEMBER 5TH ! Paid for by National Association of REALTORS® Political Action Committee ( 202-383-1000 ] . Not authorized by any candidate or candidate's committee .","b617965ecd92878fac8340a2a6fb8fe071b9889d72a3bb9d8bc6c51d62a198ad","https://www.facebook.com/ads/library/?id=978579337367181"
"cid_2024_10056","x_1072217737753964","presidential","candidate",7491,"Donald J. Trump","DONALD J. TRUMP FOR PRESIDENT 2024, INC.","[Will you help MAKE AMERICA GREAT AGAIN? President Trump needs YOUR HELP to win. Request your ballot and VOTE TRUMP TODAY.]","[vote.donaldjtrump.com]","[PRESIDENT TRUMP IS COUNTING ON YOU.]","[Get ready to VOTE for him!]","","REQUEST YOUR BALLOT PAID FOR BY DONALD J. TRUMP FOR PRESIDENT 2024 , INC .","d796851323e0ad86b6a098a275153541d6914394a6e2e866bf18fa4b44b9cd0b","https://www.facebook.com/ads/library/?id=1072217737753964"
"cid_2024_101256","x_1439021626814703","senate","candidate",15498.5,"Sherrod Brown","FRIENDS OF SHERROD BROWN","","[truthaboutmoreno.com]","","","Do I think Bernie Bernie cares about working people? No. From what I know, guys, kind of shady. Being sued 21 times for not paying overtime for discriminating against employees. Do I think an honest person would shred evidence? Bernie Bernie is out for Bernie Bernie.","Madison. Hilliard. Do | think Bernie Moreno cares about working people?
Madison. Hilliard. Do think Bernie Moreno cares about working people?
SH. From what | know, guy's kind of
From what know, guy's kind of. SHADY.
DE. IE. M. NO. BERNIE MO. BERI
E. M. BERNIE MORENO. BERI. """"SUED FOR WAGE THEFT"""". BUSINESS
RNIE. IIE. M. NO. BERNIE MORENO. BER. """"SUED FOR WAGE THEFT"""". BUSINESS INSIDER, 1/19/24
RNIE. NIE. M. NO. BERNIE MORENO. """"MULTIPLE LAWSUITS. DISCRIMINA
RNIE. F. M. BERNIE MORENO. BEA. """"MULTIPLE LAWSUITS ALLEGING. DISCRIMINATION AGAINST EMPLOYEES"""". BE. AP. 1/23/24
MC
MORENO DESTROYED. PAID FOR BY FRIENDS OF SHERROD BROWN
""""MORENO DESTROYED EVIDENCE"""". OHIO CAPITAL JOURNAL, 2/20/24. PAID FOR BY FRIENDS OF SHERROD BROWN
""""MORENO DESTROYED EVIDENCE"""". - CAPITAL. PAID FOR BY FRIENDS OF SHERROD BROWN
BERNIE MORENO. IS OUT FOR HIMSELF. PAID FOR BY FRIENDS OF SHERROD BROWN","762e16e6fcc7250f67f8630d3b742ed6393adbc2a4455705219b0c0bb91ea394","https://www.facebook.com/ads/library/?id=1439021626814703"
"cid_2024_101259","x_814477884189140","senate","candidate",10897.5,"Sherrod Brown","FRIENDS OF SHERROD BROWN","","[sherrodbrown.com]","","","No one's been better on buy American laws and Shepard Brown. No one.","As
ASSEMBLY,. SENATE PASSES SENATOR. SHERROD BROWN's BILL. REQUIRING FEDERAL GOVERNMENT TO. BUY FLAGS MADE IN THE USA
ASSEMBLY,. SENATE PASSES SENATOR. SHERROD BROWN's BILL. REQUIRING FEDERAL GOVERNMENT TO. BUY FLAGS MADE IN THE USA. PAID FOR BY FRIENDS OF SHERROD BROWN
ASSEMBLY,. SENATE PASSES SENATOR. SHERROD BROWN's BILL. REQUIRING FEDERAL GOVERNMENT. BUY FLAGS MADE IN THE USA. PAID FOR BY FRIENDS OF SHERROD BROWN
ASSEMBLY,. SENATE PASSES SENATOR. SHERROD BROWN's BILL. REQUIRING FEDERAL GOVERNMENT TO. BUY FLAGS MADE IN THE USA. BROWN. PAID FOR BY FRIENDS OF SHERROD BROWN
ASSEMBLY, 11/16/23. SENATE PASSES SENATOR. SHERROD BILL. REQUIRING FEDERAL GOVERNMENT. BUY FLAGS MADE IN THE USA. SHERROD. BROWN. PAID FOR BY FRIENDS OF SHERROD BROWN","31879bd8d62eece0001f4c160ae3d85a8f1bc3756a410c5a937d479b20629559","https://www.facebook.com/ads/library/?id=814477884189140"
"cid_2024_101273","x_1069061971552724","senate","candidate",36788.5,"Sherrod Brown","FRIENDS OF SHERROD BROWN","","[sherrodbrown.com]","","","37 million in advertising based on a lie. The claim that Brown voted to let transgender biological men participate in women's sports is false. Why are special interest breaking spending records lying about Brown? They can't buy him. 37 million in advertising based on a lie. The claim that Brown voted to let transgender biological men participate in women's sports is false. Why are special interest breaking spending records lying about Brown? They can't buy him.","AM. AM. (PST). Video. BROWN. LLOWING TRANSGENDER BIOLOGICAL. IN SPORTS
FUND. 2024 12:00 AM (PST). 8 days. 2024 12:00 AM (PST). Format: Vidao. BROWN BACKED. MEN IN GIRLS'. LOCKER ROOMS. Sponsored. Shown in Ohio. Number of times. pent. this advertiser spent on. A range times. A. 15K (USD)
Ran. PST. Format:Video. Visit advertiser. TRANSGENDER BIOLOGICAL. MEN IN SPORTS. Shown in Ohio. Number of times-shown. ount spent. how much this. A et the. A user may have been snown. once. (USD)
HEY'RE LYING. SHERROD BROWN
THEY'RE LYING ABOUT. SHERROD BROWN
FALSE. VOTE ABOUT. WOMEN'S. SPORTS. PUBERTY. BLOCKERS AN. SEX CHANGE. BREAKING NEWS:. AD FALSEL Y CLAIMS SHERROD BROWN. VOTED TO LET 'BIOLOGICAL MEN PARTIC
FALSE. VOTE ABOUT. WOMEN'S. SPORTS. PUBERTY. BLOCKERS AN. SEX CHANGE. SURGERY. BREAKING NEWS:. AD FALSEL Y CLAIMS SHERROD BROWN. VOTED TO LET 'BIOLOGICAL MEN PARTICIPATE IN WOMEN'S SPORT
FALSE. VOTE ABOU. WOMEN'S. SPORTS. PUBERTY. BLOCKERS A. SEX CHANG. SURGERY. BREAKING NEWS:. AD FALSELY CLAIMS SHERROD BROWN. VOTED TO LET 'BIOLOGICAL MEN PARTICIPATE IN WOMEN'S SPORTS'. WKYC, 9/16/24
FALSE. VOTE ABOU. WOMEN'S. SPORTS. PUBERTY. BLOCKERS A. SEX CHANG. SURGERY. BREAKING NEWS:. AD FALSEL Y CLAIMS SHERROD BROWN. VOTED TO LET 'BIOLOGICAL MEN PARTICIPATE IN WOMEN'S. WKYC, 9/16/24
INTERE. KING SPENDING. T. HIM
ECIAL INTERESTS. BREAKING SPENDING. DS AGAINST HIM
SPECIAL INTERESTS. ARE BREAKING SPENDING. RECORDS AGAINST HIM. SHERR. PAID FOR BY FRIENDS OF SHERROD BROWN
SPECIAL INTERESTS. ARE BREAKING SPENDING. RECORDS AGAINST HIM. SHERROD. BROWN. PAID FOR BY FRIENDS OF SHERROD BROWN
SHERROD BROWN. WORKING FOR OHIO,. NOT SPECIAL INTERESTS. PAID FOR BY FRIENDS OF SHERROD BROWN","eee562f8d854db2eaa9fcb0afd856aa0525171ca461d4a8f6a7b71472aa24680","https://www.facebook.com/ads/library/?id=1069061971552724"
"cid_2024_101277","x_2007116909709266","senate","candidate",30193,"Sherrod Brown","FRIENDS OF SHERROD BROWN","[Sorry to interrupt your scrolling, but can you take 30 seconds to watch this important message from my friend, Senator Reverend Raphael Warnock?]","[secure.actblue.com]","[MIDNIGHT DEADLINE: Donate now!]","[Dems need to win here to defend the Senate!]","Hey everybody, I'm Senator Raphael Warnock here with my friend Senator Sherrod Brown. I'm Sherrod Brown, we can welcome to Cleveland, Senator Warnock. Good to be here. Listen, I need you to chip in tonight. $5 anything will help my great friend, Sherrod Brown, a champion for working families in the Senate. Let's send Sherrod Brown back. Thanks, Raphael.","E. VOTE. OT. Hey, everybody.. PAID FOR BY FRIENDS OF SHERROO BROWN
VOTE. I'm Senator Raphael Warnock here. with my friend, Senator Sherrod Brown.. PAID FOR BY FRIENDS OF SHERROD BROWN
VOTE. G. I'm Senator Raphael Warnock here. with my friend, Senator Sherrod Brown.. PAID FOR BY FRIENDS OF SHERROD BROWN
E. VOTE. VOTE. -. I'm Senator Raphael Warnock here. with my friend, Senator Sherrod Brown.. PAID FOR BY FRIENDS OF SHERROD BROWN
-. VOTE. VOTE. G. I'm Sherrod Brown.. FOR BY FRIENDS OF SHERROO BROWN
VOTE. VOTE. We welcome you to Cleveland,. Senator Warnock.. PAID FOR BY FRIENDS OF SHERROD BROWN
VOTE. G. We welcome you to Cleveland,. Senator Warnock.. PAID FOR BY FRIENDS OF SHERROD BROWN
VOTE. Good to be here.. PAID FOR BY FRIENDS OF SHERROO BROWN
VOTE. I I. Listen, I need you to chip in tonight.. PAID FOR BY FRIENDS OF SHERROO BROWN
E. VOTE. IG. Listen, I need you to chip in tonight.. FOR BY FRIENDS SHERROD BROWN
VOTE. VOT. $5, anything will help my. great friend Sherrod Brown,. FOR BY FRIENDS SHERROO BROWN
E. VOTE. IG. $5, anything will help my. great friend Sherrod Brown,. FOR BY FRIENDS SHERROO BROWN
E. VOTE. $5, anything will help my. great friend Sherrod Brown,. FOR BY FRIENDS SHERROO BROWN
E. VOTE. LOT. IG. a champion for working. families in the Senate.. FOR BY FRIENDS OF SHERROO BROWN
E. VOTE. VOT. G. a champion for working. families in the Senate.. FOR FRIENDS OF SHERROO BROWN
VOTE. Let's send Sherrod Brown back.. FOR BY FRIENDS OF SHERROO BROWN
VOTE. Let's send Sherrod Brown back.. PAID FOR BY FRIENDS OF SHERROO BROWN","a881784ba919a15d4e095eeaef3f8f74dc6da6e26ac13909a4d7796c9abc42d9","https://www.facebook.com/ads/library/?id=2007116909709266"
"cid_2024_101278","x_1941053642987234","senate","candidate",2696,"Sherrod Brown","FRIENDS OF SHERROD BROWN","","[truthaboutmoreno.com]","","","Bernie Moreno was caught stealing overtime pay from hard-working people. We can't trust him.","""""MORENO SUED FOR. THEFT"""" 1/19/24. BUSINESS INSIDER,
""""MORENO SUED FOR. WAGE. THEFT"""". BUSINESS 1/19/24. APPROVED BY PAID FOR BY THE DSCC AND FRIENDS OF SHERROD BROWN.
""""MORENO SUED FOR. THEFT"""" 1/19/24. BUSINESS INSIDER,. APPROVED BY BROWN. PAID FOR BY THE DSCC AND FRIENDS OF SHERROD BROWN.
ST. BER. APPROVED BY SHERROO PAID FOR BY THE DSCC AND FRIENDS OF SHERROD BROWN.
WE CAN'T TRUST. BERNIE MORENO. APPROVED BY SHERROD BROWN. PAID FOR BY THE DSCC AND FRIENDS OF SHERROD BROWN.","d3cb719c4f098c9281b3edbd1f247c47731feff3602293e5a4c5ed2574b6cea2","https://www.facebook.com/ads/library/?id=1941053642987234"
"cid_2024_101283","x_1539070490823780","senate","candidate",1197,"Sherrod Brown","FRIENDS OF SHERROD BROWN","","[sherrodbrown.com]","","","The hardest part of securing the border shouldn't be happening in Washington. So I work with Republicans on the strongest bill in decades. More agents, tougher enforcement, better tools to fight fentanyl traffickers because some things are bigger than politics.","THE. N
BORDER. PATROL. THE HARDEST PART OF. SECURING THE BORDER. SHOULDN'T BE. HAPPENING IN WAHSHINGTON
THE HARDEST PART OF. SECURING THE BORDER. SHOULDN'T BE. HAPPENING IN WAHSHINGTON. THRU
THE HARDEST PART OF. SECURING THE BORDER. SHOULDN'T BE. HAPPENING IN WAHSHINGTON
BROWN SU. BIPARTISAN U.S.. SENATE BORDER DEAL. CLEVELAND.COM, 2/5/24
SHERROD BROWN SUPPORTS. BIPARTISAN U.S.. SENATE BORDER DEAL. CLEVELAND.COM, 2/5/24
TOUGHER. ENFORCEMENT
TOOLS TO. FIGHT FENTANYL
TOOLS TO. FIGHT FENTANYL. PAID FOR BY FRIENDS OF SHERROD BROWN
PAID FOR BY FRIENDS OF SHERROD BROWN
SHERROD. BROWN. PUTTING. OHIO FIRST. PAID FOR BY FRIENDS OF SHERROD BROWN
SHERROD. BROWN. PUTTING OHIO FIRST. PAID FOR BY FRIENDS OF SHERROD BROWN","8ab85a9e9e1d6f770e604f37311256567d305120379cc846b489dc92ff423bf8","https://www.facebook.com/ads/library/?id=1539070490823780"
"cid_2024_101284","x_1505092940142550","senate","candidate",8448.5,"Sherrod Brown","FRIENDS OF SHERROD BROWN","","[sherrodbrown.com]","","","Banks have become more creative in how they discriminate against black residents. And most politicians, they just don't care. I think Sherri Brown is different. I am glad that Sherri is pushing for penalties against these banks. I think it's about time.","Kendall. Columbus
Banks still discriminate
And most
And most politicians,. they just
And most politicians,. they just don't care.
Sherrod Brown is different
SEN. SHERROD BROWN SEEKS. CRACKDOWN. ON RACIAL
SEN. SHERROD BROWN SEEKS. CRACKDOWN. RACIAL. DISCRIMINATION. BY BANKS. APPROVED BY SHERROD BROWN. PAID FOR BY THE DSCC AND FRIENDS OF SHERROD BROWN.
SEN. SHERROD BROWN SEEKS. CRACKDOWN. ON RACIAL. DISCRIMINATION. 12/1/23. BY BANKS. APPROVED BY SHERROD BROWN. PAID FOR BY THE DSCC AND FRIENDS OF SHERROD BROWN.
Fighting for us. SHERROD. BROWN. APPROVED BY SHERROD BROWN. PAID FOR BY THE DSCC AND FRIENDS OF SHERROD BROWN.","92ac98881e885ea2d2a56b040d777b8b15b17461fc1a18949e604f13d00bec6a","https://www.facebook.com/ads/library/?id=1505092940142550"
"cid_2024_101294","x_915796250611931","senate","candidate",36894.5,"Sherrod Brown","FRIENDS OF SHERROD BROWN","[𝑨𝑻𝑻𝑬𝑵𝑻𝑰𝑶𝑵: 𝐈𝐟 𝐒𝐡𝐞𝐫𝐫𝐨𝐝 𝐁𝐫𝐨𝐰𝐧 𝐥𝐨𝐬𝐞𝐬 𝐢𝐧 𝐎𝐡𝐢𝐨, 𝐃𝐞𝐦𝐨𝐜𝐫𝐚𝐭𝐬 𝐖𝐈𝐋𝐋 𝐥𝐨𝐬𝐞 𝐭𝐡𝐞 𝐒𝐞𝐧𝐚𝐭𝐞. Ohio is the only toss up race left on the map according to top race raters, so that’s why Sherrod is asking for your help: Will you chip in to help Sherrod fight back against his Trump-backed opponent and the record amount shady Republican billionaires are spending to defeat him? Please, act now and help us defend the Senate.]","[secure.actblue.com]","[“An urgent reminder”]","[Please take action before 11:59 p.m. tonight]","Hi, I'm Sherrod Brown. I want to ask each of you to chip in to help me win Ohio and keep the Senate blue. This is the hardest race I've ever faced. It's the hardest, frankly, because Mitch McConnell and Donald Trump and JD Vance are spending tens and tens of millions of dollars outspending us right now more than two to one. The reason is when you stand up to the drug companies and you stand up to the special interest and you hold Wall Street accountable and you take on the oil industry, of course Of course, they're going to spend tens of millions of dollars to defeat me. Senate control be determined by what happens here in Ohio. I need your help. That's why I'm asking, would you chip in $5, $10, whatever you can spare to help me fight back and win this race? Every dollar helps. Thank you so much for your activism.","Hi, I'm Sherrod. Brown. want to. ask each of you to. chip in to help me. win Ohio and. keep the Senate. blue.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE SKOMORE cc 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
Hi, I'm Sherrod. Brown. want to. ask each of you to. chip in to help me. win Ohio and. keep the Senate. blue.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE SKOMORE cc 4.0. PAID FOR BY FRIENDS OF BROWN
Hi, I'm Sherrod. Brown. I want to. ask each of you to. chip in to help me. win Ohio and. keep the Senate. blue.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE SKOMORE cc 4.0. PAID FOR BY FRIENDS OF BROWN
Hi, I'm Sherrod. Brown. want to. ask each of you to. chip in to help me. win Ohio and. keep the Senate. blue.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc 4.0. FOR BY FRIENDS OF SHERROD BROWN
Hi, I'm Sherrod. Brown. want to. ask each of you to. chip in to help me. win Ohio and. keep the Senate. blue.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
This is the. hardest race I've. ever faced. It's. the hardest,. frankly, because. Mitch McConnell,. and Donald. Trump,. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
This is the. hardest race I've. ever faced. It's. the hardest,. frankly, because. McConnell,. and Donald. Trump,. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
This is the. hardest race I've. ever faced. It's. the hardest,. frankly, because. Mitch McConnell,. and Donald. Trump,. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE SKIDMORE cc 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
This is the. hardest race I've. ever faced. It's. the hardest,. frankly, because. Mitch McConnell,. and Donald. Trump,. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE SKIDMORE cc 4.0. FOR BY FRIENDS OF SHERROD BROWN
and JD Vance are. spending tens. and tens of. millions of dollars,. outspending us. right now more. than 2-to-1.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE SKIDMORE cc 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
and JD Vance are. spending tens. and tens of. millions of dollars,. outspending us. right now more. than 2-to-1.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE SKIDMORE cc 4.0. FOR BY FRIENDS OF SHERROD BROWN
and JD Vance are. spending tens. and tens of. millions of dollars,. outspending us. right now more. than 2-to-1.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc BY-SA 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
The reason is,. when you stand up. to the drug. companies, and. you stand up to. special interests,. and you hold Wall. Street accountable,. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc BY-SA 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
The reason is,. when you stand up. to the drug. companies, and. you stand up to. special interests,. and you hold Wall. Street accountable,. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
The reason is,. when you stand up. to the drug. companies, and. you stand up to. special interests,. and you hold Wall. Street accountable,. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc 4.0. FOR BY FRIENDS OF SHERROD BROWN
and you take on. the oil industry. of. course they're. going to spend. tens of millions of. dollars to defeat. me.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc 4.0. FOR BY FRIENDS OF SHERROD BROWN
and you take on. the oil industry, of. course they're. going to spend. tens of millions of. dollars to defeat. me.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc BY-SA 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
Senate control will. be determined by. what happens here. in Ohio. I need your. help. That's why. I'm asking:. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc BY-SA 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
Senate control will. be determined by. what happens here. in Ohio. I need your. help. That's why. I'm asking:. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE SKIDMORE cc BY-SA 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
Would you chip in. $5, $10, whatever. you can spare to. help me fight. back and win this. race?. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc BY-SA 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN
Would you chip in. $5, $10, whatever. you can spare to. help me fight. back and win this. race?. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc BY-SA 4.0. FOR BY FRIENDS OF SHERROD BROWN
Every dollar helps.. Thank you so. much for your. activism.. 51%. 49%. BROWN. MORENO. MORENO IMAGE DERIVATIVE OF A PHOTO BY. GAGE cc BY-SA 4.0. PAID FOR BY FRIENDS OF SHERROD BROWN","307e2ff0a5f0182e6962ea9cae68ddb707171071cb6a5c8d04edc0456eca8c40","https://www.facebook.com/ads/library/?id=915796250611931"
