ad_id,text,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE
x_787062738797163,"Candie Sweetser has voted twice for Santa Fe progressive Brian Egolf and his radical agenda. We deserve someone who will vote for a more conservative Speaker of the House with a reasonable agenda. Vote NO on Candie Sweetser. A VOTE FOR CANDIE SWEETSER IS A VOTE FOR LIBERAL SPEAKER BRIAN EGOLF'S AGENDA: Red Flag gun confiscation Abortion up to day of birth Business licenses for illegals New Mexico's ""Green New Deal"" Massive tax increases VOTE NO CANDIE SWEETSER ON Paid for by NMHRCC, Andrea Clock Treasurer  New Mexico House Republican Caucus Committee NMHRCC   ",0,0,0,0,0,0,0,0,1
x_1185448265184423,"Coming from humble beginnings shaped Sam Edney into who he is today: honest, hardworking, and in touch with the community. Sam Edney is ready to work hard for everyone.  Sam came from Humble means and he understands the community and therefore he will work for all of us. Not just a few of us down to earth hard-working as good a fellow's you'll ever meet honest, you know sound load out. He's one of us. I am a republican but I vote for the person and what I see in Sam Edney makes me proud. Sam Edney Sam Edney for NC House www.electsamedney.org  ",0,0,0,0,0,0,0,1,1
x_457699125192216,"If he wins Donald Trump will take away our rights, our environment, and our future. SwipeBlue is the easiest, fastest way to make sure all your Democratic friends vote. All you need is your phone. Ready? George Takei @GeorgeTakei In the closing weeks of the campaign, we must all do our part to ensure blue voter out. And every turns luckily, there's a simple tool for that: swipeblue.org I hope you'll #SwipeBlu to help make sure your blue voting friends and family turn out and vote this year!  Democrats.com DEMOCRATS.COM apps.apple.com SwipeBlue to beat Trump ‎SwipeBlue is the best way to make sure your blue friends vote safely. Just match your contacts, swipe to identify your blue friends, and then we’ll make sure they get the information they need to register and vote safely! Here’s how it works. We match your phone contacts with publicly availab...",0,0,0,1,0,0,0,0,0
x_343426530093140,"New Mexico’s economic recovery is dependent on our mining industry. That’s why it’s so important that we elect Candie Sweetser. She’s committed to the responsible use of our lands and natural resources.  New Mexico's mining industry will help Drive our state's economic recovery. That's why it's so important that we keep our leaders who are effective champions for our state's natural resources and our local economies. Candy sweet sir. Is that champion? She's committed to protecting our natural resources and the jobs tied to the vote for candy sweet, sir for house district 32. New Mexico Rocks New Mexico Rocks nmrocks.org Elect Candie Sweetser New Mexico House District 32",0,0,0,0,0,0,0,1,1
x_2998487527041740,Donald Trump wants to replace Ruth Bader Ginsburg with another Supreme Court Justice threatening coverage for pre-existing conditions and reproductive freedom. We can't let it happen. Not now. Not ever.  An American icon a champion of women's rights. Donald Trump wants to replace her against her dying wish with another Supreme Court Justice threatening coverage for pre-existing conditions and reproductive Freedom. Just like he said he would we can't let it happen not to her Legacy not to her seat not to our health not now not ever take action vote. Planned Parenthood Action Planned Parenthood Votes PlannedParenthoodAction.org Take Action. Vote ,0,0,0,0,0,0,0,1,1
x_1330755907283256,We need to prevent the reelection of Donald Trump in the 2020 presidential election. MAKE AMERICA KIND AGAIN!  Nobody respects women more than Donald Trump a when you're a star they let you do. It grabbed by the pool Every Woman lied when they came forward to hurt my campaign. I've said that if Ivanka weren't my daughter perhaps I'd be dating her.  Championing America at her best is responsible for the content of this advertising. Championing America At Her Best Championing America at Her Best championingamerica.com Mr. Rogers Watches Trump on TV Disrespecting Woman ,0,0,0,0,0,0,0,1,0
x_1028559840915884,"👩🏻‍🏫 Attorney. 👊🏽 Advocate. 🏃🏻‍♀️Named one of the Best Legislators by Texas Monthly.   🤝 Working to secure COVID-19 resources for Families & Small Businesses  👩🏼‍🎓 Secured MILLIONS in NEW funding for Garland, Mesquite, & Dallas ISD schools  ✍🏼 Passed historic legislation, the Lavinia Masters Act, with an unprecedented $50 MILLION to tackle the backlog of thousands of untested rape kits in Texas.   👊🏽 Fighting for justice for survivors of Domestic Violence & Sexual Assault  Learn more at VictoriaforTexas.com DISTRICT 107 DALLAS GARLAND MESQUITE VICTORIA NEAVE STATE REPRESENTATIVE  Victoria Neave for Texas State Representative Victoria Neave Campaign victoriafortexas.com Re-Elect Victoria Neave Early Voting Starts October 13th",0,0,0,0,0,0,0,1,1
x_1002640346826161,"Our health care is on the ballot - Trump would eliminate protections for pre-existing conditions, even during a pandemic.  Donald Trump is trying to strip Healthcare from tens of millions of families.  He succeeds insurers could drop coverage completely for people living with pre-existing conditions. Independence USA Independence USA PAC www.independenceusapac.org Save Our Health Care Vote For Joe Biden",0,0,0,0,0,0,0,1,1
x_817915525688984,The radical left wants to turn Kentucky into California. In times like these we MUST elect candidates like Scott Sharp who will support President Trump and fight back against the far-left’s socialist policies. Vote Scott Sharp for House District 100 on or before November 3rd. CONSERVATIVE SCOTT SHARP WILL PROTECT OUR FREEDOMS & KENTUCKY VALUES VOTE EARLY IN-PERSON TODAY OR ELECTION DAY NOV.3RD BY THE HOUSE CAMPAIGN COMMITTEE  Kentucky House Republican Caucus Campaign Committee Kentucky House Republican Caucus Campaign Committee   ,0,0,0,0,0,0,0,1,0
x_2826313067657657,"Chris Sununu calls himself ""a Trump guy, through and through,"" and the similarities go beyond words. Just like Trump, Sununu has filled our state's highest court with conservative justices, and now is holding the Chief Justice seat open for a conservative, anti-choice activist. And this is just his latest attack on reproductive rights.  If we're going to protect reproductive rights, we need to defeat Sununu and Trump this November. Contribute $5 or more right away >> https://bit.ly/3jyvIln Stand up to Trump & Sununu's ANTI-CHOICE AGENDA CHIP IN PROTO - SCHWORE  Dan Feltes for Governor Friends of Feltes secure.actblue.com Contribute to Dan Feltes Help us win in November >>",1,0,0,0,0,0,0,0,0
x_1825561840929882,"This is the most important election of our lifetime.   We've had to deal with this pandemic with a completely incompetent administration. We need a capable government that believes in science, data, and public health. And when we get to the other side of this, we'll need everything we've learned to move quickly to address climate change.  That's why we need to vote. If you haven't voted yet, make your plan to vote here: iwillvote.com/ME  This is the most important election of our lifetime. Our country has been through unprecedented pain and challenges through this year of the pandemic and we've had to go through this with a completely incompetent and incapable Administration. My hope is when we get to the other side of this. We have a country that comes out that understands fully why it's important to trust data and to trust the scientists and public health is important and competent government is important because you know, when we get to the other side of this we're going to be looking climate change in the eye and  If we don't use all that we know from this pandemic and act quickly. We won't have any other choices you got to vote. Chellie Pingree PINGREE FOR CONGRESS chelliepingree.com This election is too important. Make a plan to vote ",0,0,0,1,0,0,0,1,1
x_2526912250941001,"Democrats need your help to undo the damage of the Trump presidency and restore Obama’s legacy.  We’re surveying grassroots Democrats -- and you’ve been selected to participate!  As a Top Democrat, we want to know what you think Democrats’ priorities should be! Please, take two minutes and be brutally honest >> EDITED) E SKIDMORE G CUSTOMER OFFICIAL DEMOCRATIC PRIORITIES SURVEY RESPOND NOW :  Democratic Strategy Institute Democratic Strategy Institute act.democratic-strategy.org Help Shape Democratic Priorities 56,421 Responses Needed For Statistical Significance",0,0,0,0,0,1,0,0,0
