"cid","ad_id","race","sponsor_type","total_spend","advertiser_name","ad_text","asr_text","ocr_text","checksum","ad_url"
"cid_2024_1005","CR02406049166074576897","house","noncandidate",37500,"DCCC","","while the cost of healthcare and rent continued to Skyrocket and families struggle to make ends meat Maga Republicans voted against capping insulin cost at $35 they voted against strengthening Social Security benefits leaving families struggle","CAPPING INSULIN COST_
VOTED AGAINST
PAID FOR BY DCDC, DCCC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.
LOTEO AGAINST
STRENGTHENING SOCIAL
STRENGTHENI_
TO SKYROCKET
STRENGTHENING SO
PAID FOR BY DCCC, DCCC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.
MAGA
STRENGTHENING SOCIAL SECURITY__
CAPPING INS
VUTED AGAINST
STRENGTHENING SOCIAL SECURITY_
PAID FOR BY DCC DCCC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.
COSTS CONTINUE
VO ED AGAINST
- PAID FOR BY DCCC, CCC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.
LUTED AGAINST
PAID FOR BY DCCC, DCCC ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE
REPUBLICANS
CAPPING INSULIN CO_
PAID FOR BY DCDC, DOCC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.
STRENGTHENING SOCIA
CAPPING INSULIN COSTS
PAID FOR BY DCCC, DOCC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE.
COSTS
CAPPING INSULI
CAPPING
VOTED MGAINST
PAID FOR BY DCCC, DCC.ORG. NOT AUTHORIZED BY ANY CANDIDA","4385afa0913203fdb388120f9142eccdb4b20e0d74db82ff9bd70893f4a3ca04","https://adstransparency.google.com/advertiser/AR01156151457452392449/creative/CR02406049166074576897?political=&region=US"
"cid_2024_10054","CR18333223363612246017","house","candidate",37500,"Mondaire For Congress","","police officers meet a lot of liars guys just like Mike Lawler Congressman Lawler is lying about mandere Jones and he knows it the only guy in this race who voted to cut police funding is Mike Lawler mandere voted for record funding for police around here","MED BY MONDAIRE JONES. PAID FOR BY MONDAIRE FOR CONGRESS.
APPRIVED BY MONDAIRE JONES, PAIO FOR BY MONDAIRE FOR CONGRESS
Fissallgid
APPHOVED BY MONDAIRE JONES, PAID FOR BY MONDAIRE FOR CONGRESS.
MONDAIRE JONES
IVED BY MONDAIRE JONES. PAID FOR BY MONDAIRE FOR CONGRESS
APPROVED BY MONDAIRE JONES, PAIO FOR BY MONDAIRE FOR CONGRESS
APPAIVED BY MONDAIRE JONES, PAIO FOR BY MONDAIRE FOR CONGRESSI
CONGRESSMAN LAWLER
APPAOVED BY MONDAIRE JONES, PAIO FOR BY MONDAIRE FOR CONCRESSI
Fussellid
THE 3OURNAL NEWS, 03/11/2021
Lawler's vote trims law enforcement funding
Pyssellid
-THE 3OURNAL NEWS, 03/11/
APPAOVED BY MONDAIRE JONES. PAIO FOR BY MONDAIRE FOR CONGRESS.
IS LYING ABOUT MONDAIRE JONES
N
APPALVED BY MONDAIRE JONES. PAID FOR BY MONDARE FOR CONGRESS
-THE 3OURNAL NEWS, 03/11/2024
APPAOVED BY MONDAIRE JONES. PAID FOR BY MONDAIRE FOR CONGRESS
APPROVED BY MONDAIRE JONES, PAID FOR BY MONDAIRE FOR CONGRESS,
- THE JOURNAL NEWS, 03/11/2024
APPROVED BY MONDAIRE JONES, PAID FOR BY MONDAIRE FOR CONGRESSI
LAWLER
Fussellaid
FOR CONG","026f5e8cdec99caf769ecfeed39ecd02af16651d7acc29d53199b1c501652fff","https://adstransparency.google.com/advertiser/AR09120629959503642625/creative/CR18333223363612246017?political=&region=US"
"cid_2024_10073","CR04098980465040424961","house","candidate",19250,"Friends of Janelle Stelson","","politicians in both parties have failed to fix the crisis on the border I'm Janelle stelson here's what I'm for hire more border agents kick out migrants here illegally and shut down the Border when needed","• More Border Agents
* STELSON *
MIGRANTS CAUGHT BREACHING BORDER
PAIO FOR BY FRIENDS OF JANELLE STELSON. APPROVED BY JANELLE STELSON.
PAID FOR BY FRIENDS OF JANELLE STELSON. APPAOVEDBY JANELLE STELSON
PAID FOR BY FRIENDS OF JANELLE STELSON. APPROVED BY JANELLE STELSON.
parties have failed.
FOR CONGRESS
STELSON
PAID FOR BY FRIENDS OF JANELLE STELSON. APPROVED BY JANLLE STELSON.
PAID FOR BY FRIENDS OF JANELLE STELSON. APPROVED BY JANELLE STELSON
PAID FOR BY FRIENDS OF JANELE STELSON. APPROVED BY JANELLE STELSON
Janelle Stelson
Politicians in both
Shut Down Border
PAID FOR BY FRIENDS OF JANELLE STELSON. APPAOVED BY JANELL STELSON.
Janelle Stelson:
PAID FOR BY FRIENDS OF JANELLE STELSON. APPROVED BY JANELLE STELSON,
.. PAID FOR BY FAIENDS OF JANELI STELSON. AAPIOVED BY JAWELLE STELSON
Deport Illegal Migrants
JANELLE
More Border Agents","5a38a57bc546b71088bcceb7d38e3328f1a1b6fb7ecbbad4c0fd5ea90904a378","https://adstransparency.google.com/advertiser/AR09169555100203483137/creative/CR04098980465040424961?political=&region=US"
"cid_2024_10091","CR11896351341611581441","house","noncandidate",93750,"NRCC","","Marie Glen Camp Perez said she's not worried about the Border while the flood of fentanyl is killing kids they're gone because you're not willing to take the problem seriously I'm not going to vote for Marie Perez the nrcc is responsible for the content of this advertising","AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. WWW.NACC.ORG
""""NOBOD.Y.WORRYING ABOUT THE SOUTHERN BORDER""""
“NOBODY..WORRYING ABOUT THE SOUTHERN BORDER”
THE NRCC PAID FOR AND IS RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING.
NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE S COMMITTEE. WWW.NRCC.ORG
“NOBODY...WORRYING ABOUT THE SOUTHERN BORDER”
- CBS NEWS. 9/27/22
THE NRCC PAID FOR AND IS RESPONSIBLE FOR THE CO NTENT OF THIS ADVERTISING
Mark
THE NRCC PAID FOR AND IS RESPONSIBLE FOR THE CONTENI OF THIS ADVERTISING
""""FENTANYL KILLING KIDS”
AUTHORIZED BY ANY CANDIDAT OR CANDIDATES COMMITEE. WWW.NRCC.ORG
THE
""""DEADLY FENTANYL FROM MEXICO""""
“NOBODY..WORRYING ABOUT THE SOUTHERN BORDER""""
CHEHALIS, WA
AUTHOAIZED BY ANY CANDIDAE OR CANDIDATE S COMMITEE. WWW.NACC.ORE
“FENTANYL KILLING KIDS”
THE NRCC PAID FOR AND IS RESPONGIBLE FOR THE CONTENT OF THIS ADVERTISING
FAILED OUR FAMILIES
""""NOBODY..WORRYING ABOUT THE SOUTHERN BORDER""""
NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. WWW.NRCC.ORG
THE NRCC PAID FOR AND IS R","4122406b5f51154e1b511dc70c6fb6da28295fbd378f14a25fbfbc499fa41a27","https://adstransparency.google.com/advertiser/AR09173547255125245953/creative/CR11896351341611581441?political=&region=US"
"cid_2024_10092","CR02621596927367577601","house","noncandidate",65450,"NRCC","","Amish sha is too extreme and too dangerous for Arizona Shaw even voted against requiring sex offenders with kids to notify schools of their status that's putting our kids at risk nrcc is responsible for the content of this","RADICAL
AMISH SHAH
RADICALT
OVER OUR KIDS
ARIZONA
NRCC PAID FOR AND IS RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING
GINA
DANA
Mom
Law Enforcement
MIKE
SEX OFFENDERS
VOTE AGAINST
FOR ARIZONA
SB 1253,3/29/23
SIDED WITH
NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. WWW.NRCCORG
NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATES COMMITEE, WWW.NRCCORG
NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATES COMMITTEE. WWW.NRCCORG
TOO RADICAL
LEVI
NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATES COMMITEE WWW.NRCCORG","5d1385fb90f15fcb287deacb3a9dfc9c5db9a8719a0eb6f1af1454620e25f2bc","https://adstransparency.google.com/advertiser/AR09173547255125245953/creative/CR02621596927367577601?political=&region=US"
"cid_2024_10093","CR06698198740190101505","house","noncandidate",30350,"NRCC","","Marie Perez led a group pushing the same failed policies as Portland they fought to decriminalize hard drugs even fentanyl Marie Perez and her cronies would turn Southwest Washington into Portland the nrcc is responsible for the content of this advertising","","3a7d3946e39ccfc5987748f0ecb6f5ae121b6640fe3a8e70a22fa666c4acdf1d","https://adstransparency.google.com/advertiser/AR09173547255125245953/creative/CR06698198740190101505?political=&region=US"
"cid_2024_10094","CR18165926295714660353","house","noncandidate",10250,"NRCC","","This line has, what do you think, tripled since we've been on the air in an hour? From Texas to Arizona to California, some border officials expect the daily flow of migrants will double. I don't have enough agents, I don't have enough infrastructure, I don't have enough technology.","Millions are pouring across our border.
Millions are pouring across our border.
Millions are pouring across our border.
CTR
Now, Democrats want to let them vote.
Now, Democrats want to let them vote.
Now, Democrats want to let them vote.
A. ORTIZ
Help us stop them.
SIGN NOW
SUPPORT FOR THE LEGAL FUND >>
PAID FOR BY THE NRCC AND NOT AUTHORIZED BY ANY CANDIDATE DATE OR CANDIDATE'S COMMITTEE. WWW.NRCC.ORG","0b6ebf6867907ab4c87fd83ad5a28db4aa66e7dbdfb868d174be3c64938b485c","https://adstransparency.google.com/advertiser/AR09173547255125245953/creative/CR18165926295714660353?political=&region=US"
"cid_2024_10095","CR04158244141777551361","house","noncandidate",16000,"NRCC","","Marie gluing Camp Perez has ignored our border crisis listen like nobody stays awake at night worrying about the southern border perz isn't worried that's where the flood of fentanyl is coming from and it's killing our kids the nrcc is responsible for the content of this advertising","NOBODY STAYS AWAKE..""""
NOGODY STAYS AWAKE
(NOBODY STAYS AWAKE..
„NOBODY STAYS AWAKE.""""
PUO SAV AMENIGA JS
CBS NEWS, 9/27/22
Marie Perez
.NOBODY STAYS AWAKE..
“...NOBODY STAYS AWAKE..'
MARIE GLUESENKAMP PEREZ IGNORED OUR BORDER CRISIS
NOT
WORRYING ABOUT THE BORDER
""""..NOBODY STAYS AWAKE.""""
"""".NOBODY STAYS AWAKE..
"""". NOBODY STAYS AWAKE."""".
""""...NOBODY STAYS AWAKE
...FLOOD OF FENTANYL
COMING FROM MEXICO.""""
WASHINGTON POST, 12/12/22
""""...FENTANYL
KILLING KIDS.""""
FENTANYL
NOBODY STAYS AWAKE.
WRONG ON FENTANYL
NOT WORRIED?
..NOBODY STAYS AWAKE
6. NOBODY STAYS AWAKE..","72ce51be647d27f3db8fa0502bdc0ef995125d6b4026f7f7154594efe0009037","https://adstransparency.google.com/advertiser/AR09173547255125245953/creative/CR04158244141777551361?political=&region=US"
"cid_2024_10096","CR17893458518258745345","house","noncandidate",16750,"NRCC","","1 2 3 4 5 6 7 8 9 10 11 12 14 17 18 19 20","Do you think photo ID
should be required to vote?
Do you think photo ID
should be required to vote?
SUPPORT FOR THE LEGAL FUND >>
PAID FOR BY THE NRCC AND NOT AUTHORIZED BY ANY CANDIDATE DATE OR CANDIDATE'S COMMITTEE. WWW.NRCC.ORG
Do you think photo ID
should be required to vote?
RESPOND NOW
SUPPORT FOR THE LEGAL FUND >>
PAID FOR BY THE NRCC AND NOT AUTHORIZED BY ANY CANDIDATE DATE OR CANDIDATE'S COMMITTEE. WWW.NRCC.ORG
Do you think photo ID
should be required to vote?
RESPOND NOW
SUPPORT FOR THE LEGAL FUND >>
PAID FOR BY THE NRCC AND NOT AUTHORIZED BY ANY CANDIDATE DATE OR CANDIDATE'S COMMITTEE. WWW.NRCC.ORG
Do you think photo ID
should be required to vote?
RESPOND NOW
SUPPORT FOR THE LEGAL FUND >>
PAID FOR BY THE NRCC AND NOT AUTHORIZED BY ANY CANDIDATE DATE OR CANDIDATE'S COMMITTEE. WWW.NRCC.ORG
Do you think photo ID
should be required to vote?
RESPOND NOW
SUPPORT FOR THE LEGAL FUND >>
PAID FOR BY THE NRCC AND NOT AUTHORIZED BY ANY CANDIDATE DATE OR CANDIDATE'S COMMITTEE. WWW.NRCC.ORG
Do you think photo ID","316c23854627e6a9a24662594c5c530ca8894a624fe1e1d6a5d372b5bc81e739","https://adstransparency.google.com/advertiser/AR09173547255125245953/creative/CR17893458518258745345?political=&region=US"
"cid_2024_10097","CR01165985369192136705","house","candidate",17500,"Vote Baumgartner for Congress","","I grew up in Eastern Washington and it's where my parents have retired and it's where my wife and I are raising our family I'm Michael bomgardner and in Congress I'll work for your family by protecting Social Security and Medicare ensuring veterans get the benefits they've earned fighting the inflation that hurts so many seniors single moms and young people and I'll work hard to make our neighborhood safe by securing the southern border and stopping the fentanyl pouring into the country I'm Michael bomgardner and I approve this message","ROL
POLICE
PAID FOR BY VOTE BAUMGARTNER FOR CONGRESS. APPROVED BY MICHAEL BAUMGARTNER.
a mga tn
F G TN IN LAT
Michael
FIGHTING INFLATION
DAYE TO
Michael Bauts
12
AD
U.S. BORDER
Baumgartner
AMERICA
U.S. BORDER PATRO
Michael Baumgartner,
ANSIT
PROTECTING SOCIAL
P OTE TI G SOC
AN
10
R
RIAL
for Congress (R)
Michael Baumgartner
S
SECURITY AND MEDICARE
ОТ
FT
ANSI
SECURING THE BORDER
SUPPORTING VETERANS","1b9672747dd2f487e680c046e4406a512c8cab6c7454731aba715c1ac701d7b7","https://adstransparency.google.com/advertiser/AR09183672211028836353/creative/CR01165985369192136705?political=&region=US"
