ad_id,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE,page_name,funding_entity,ad_creative_body,ad_creative_link_caption,ad_creative_link_title,ad_creative_link_description,asr_text,ocr_text
x_1000241151874177,0,0,0,0,0,0,0,1,1,Republican Laurie Buckhout: Not Right for Eastern North Carolina,DCCC,"Laurie Buckhout stands with Mark Robinson, the controversial and socially conservative Republican nominee for governor of North Carolina.",cnn.com,“I’m a black Nazi!”,"Mark Robinson, the controversial and socially conservative Republican nominee for governor of North Carolina, made a series of inflammatory comments on a pornography website’s message board more than a decade ago, in which he referred to himself as a “black NAZI!” and expressed support for r...",,"M Mark Robinson LiberalBookworm Jim insold LiberalBookworm Jim O followers insold following LiberalBookworm @goodoldcatchy Jim O followers following minisoldr @goodoldcatchy O followers following minisoldr minisoldr I'm British . I don't get why Americans @ bp - 8b2cd079d6edf6d260e5a535aa ... can get machine guns but not Coemeen 0 0 can get machine guns but not 0 0 universal healthcare . Coemeen Flowers 0 Fall universal healthcare . Coemeen universal healthcare . Coemeen Flowers Fall universal healthcare . mark robinson @ minisol 2nd Amendment of Follow mark robinson @ minisol Follow mark It's because robinson of @ the 2nd Amendment of Follow It's because of @ the 2nd Amendment of Follow It's because of the 2nd Amendment of our Constitution Constitution because which it's was the put principle in our I'm the majority that YOUR helped mighty a British bunch army of farmers . So quit beat minisold By minisold on Tuesday , October 05 , 2010-9 : 16 pm that helped a bunch of farmers beat minisold By minisold on Tuesday , October 05 , 2010-9 : 16 pm YOUR mighty British army . So quit minisold By minisold on Tuesday , October 05 , 2010-9 : 16 pm being confused and go have a tea Slavery is not bad . Some people need to be slaves . I wish they being redcoat confused and go have a tea Slavery is not bad . Some people need to be slaves . I wish they redcoat would Slavery bring is not it ( slavery bad . Some ) back people . I would need certainly to be slaves buy . a I few wish . they redcoat would bring it ( slavery ) back . I would certainly buy a few . DIM"
x_1002126228352949,0,0,0,0,0,0,0,1,1,American Bridge 21st Century,AB PAC,,cantgobackmi.com,,,Don't believe Trump when he plays dumb on Project 2025. He knows exactly what it is and it includes Trump's abortion ban. It really is their plan and it's dangerous to women.,"Nisha. Physician's Assistant. Michigan PROJECT. """"""""THE ANTI-ABORTION PLAN. READY FOR TRUMP ON DAY ONE"""""""". JANUARY 29. PROJECT. """"""""THE ANTI-ABORTION PLAN. READY FOR TRUMP ON DAY ONE"""""""". JANUARY 29. 2024 - PROJECT. """"""""THE ANTI-ABORTION PLAN. READY FOR TRUMP ON DAY ONE"""""""". JANUARY 20. Mandate. Mandate for. Leadership. The Conservative Promise. 2 Mandate. 20. Mandate for. Leadership. The Conservative Promise. 25. OR CANDIDATE'S COMMITTEE. PAID FOR BY AB PAC NOT A PAID ACTOR. PAID FOR BY AB PAC NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE NOT A PAID ACTOR. PAID FOR BY AB PAC WWW.AMERICANBRIDGEPAC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE WHAT COMES NEXT?. cantgobackmi.com. PAID FOR BY AB PAC, WWW.AMERICANBRIDGEPAC.ORG, NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE WHAT COMES NEXT?. cantgobackmi.com. PAID FOR BY AB WWW.AMERICANBRIDGEPAC.ORG, NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE"
x_1003006244822174,1,0,0,0,0,0,0,0,0,Eugene Vindman for Congress,Vindman for Congress,,secure.actblue.com,Eugene Vindman for Virginia,Show your support with a contribution.,,Is there anything I can say to get you to donate to my campaign for Congress ? What if I told you I'm running for one of the most competitive races in Virginia ? What if I told you winning this election can help us take back the House from the GOP ? Would you then consider making a donation to my campaign today ?
x_1004477151053635,0,0,0,0,0,0,0,1,1,Last Best Place PAC,LAST BEST PLACE PAC,"Tim Sheehy called for pure privatization of health care — a plan that could destroy VA services. Out-of-state millionaires like Shady Sheehy would get even richer, while Montana veterans lose their health care.",www.shadysheehy.com,Sheehy: a threat to Montanan’s health care,Tim Sheehy called for pure privatization of health care.,Tim Sheehi called for pure privatization of healthcare. A plan that could destroy VA services. Out of state millionaires like himself would get even richer while Montana veterans lose their healthcare. That's shady Sheehi.,"TIM SHEEHY CALLE TIM SHEEHY CALLED FOR. """"""""PURE. PRIVATIZATIO. OF НЕ. -SEMAF TIM SHEEHY CALLED FOR. """"""""PURE. PRIVATIZATION"""""""". OF HEALTH CARE. -SEMAFOR, 12/4/23 DESTROY. VA. ARY CARE. CENTER. -THEHILL, DESTROY. VA SERVICES. ARY CARE. MUNITY LIVING CENTER. -THE HILL, 11/11/23 OUT-OF-STATE. MILLIONAIRES OUT-OF-STATE. MILLIONAIRES. GET EVEN. RICHE -STATE. NAIRES. EVEN. IER. PAID FOR BY LAST BEST PLACE PAC, HOT. AUTHORIZED BY ANY CANDIDATE DR CANDIDATE'S COMMITTEE VETERANS LOSE. HEALTH CARE. PAID FOR BY LAST BEST PLACE PAC, LASTBESTPLACEPAC.COM NOT. AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE PAID FOR BEST PLACE PAC. AUTHORITED BY ANY CANDIDATE OR COMMITTEE THAT'S. SHADY. PAID FOR. AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE THAT'S. SHADY SHEEHY. PAID FOR LAST BEST PLACE PAC, LASTBESTPLACEPAC.COM NOT. AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE"
x_1005356277944013,1,0,0,0,0,0,0,0,0,Tamie US Congress,TAMIE WILSON FOR US,Jim Jordan is Vulnerable—Your Donation Will Secure Tamie's Victory!,secure.actblue.com,Ready to Unseat Jim Jordan? Your Donation will Make it Happen!,"Far-right Jim Jordan is vulnerable! Tamie is STATISTICALLY TIED with Jordan in the polls. Donate now to propel her campaign forward. Your donation right now will fund ads around the district, canvassing materials, and billboards in Jordan’s hometown, so we can win over the 17% of undecided voter...",,BREAKING NEWS ! Democrat Tamie Wilson in a STATISTICAL TIE with ULTRA - MAGA Jim Jordan in new poll . Tamie is on track to FLIP OH - 04
x_1005359281247834,1,0,0,0,0,0,0,0,0,Alexandria Ocasio-Cortez,Alexandria Ocasio-Cortez for Congress,"When Alexandria first ran for Congress, she was told she didn't stand a chance. A young waitress and activist going up against big money and the political machine? No way. But together, we proved the doubters wrong. We built a grassroots movement, powered by people like you chipping in $5, $10, whatever you could afford. And against all odds, we won. Now, as she seeks re-election, Alexandria is relying on that same grassroots strength to keep fighting for the bold changes we need, like Medicare for All, a Green New Deal, and an economy that puts working people first. Because progress doesn't come from playing it safe. It comes from having the courage to challenge the status quo. It comes from remembering that when we knock on doors, make calls, and yes — chip in our hard-earned money — we're investing in a movement bigger than any one candidate. So if you believe in the work we're doing to shake up Washington and put power back in the hands of the people, I'm asking you to make a $5 donation today. Your support means everything to us. The path to change isn't easy. But thanks to folks like you, we know we'll keep making the impossible possible. Adelante!",secure.actblue.com,Chip in $5 to keep our movement strong →,,,"< Notes. .... am the youngest woman in U.S. history. to be elected to Congress. was a. waitress. I am Latina. I come from a low. income background and am one of just. a few working class people who get. elected to Congress.. That makes a lot of classist, ageist,. misogynist, and racist people mad.. But together, we've built a movement. fighting for transformative change-. from Medicare for All to democratizing. fundraising power in politics.. Could you donate $5. or anything you can. afford right now to keep. our movement strong?. PAID FOR BY ALEXANDRIA. OCASIO-CORTEZ FOR CONGRESS < Notes. .... am the youngest woman in U.S. history. to be elected to Congress. I was a. waitress. I am Latina. I come from a low. income background and am one of just. a few working class people who get. elected to Congress.. That makes a lot of classist, ageist,. misogynist, and racist people mad.. But together, we've built a movement. fighting for transformative change-. from Medicare for All to democratizing. fundraising power in politics.. Could you donate $5. or anything you can. afford right now to keep. our movement strong?. PAID FOR BY ALEXANDRIA. OCASIO-CORTEZ FOR CONGRESS"
x_1005423014955906,0,0,0,0,0,0,0,0,1,Tamie US Congress,TAMIE WILSON FOR US,"‼️‼️STOP SCROLLING‼️‼️ Jim Jordan has been paid $3 million dollars, but votes against us 97% of the time. He has voted against Veterans, Seniors, Farmers, Unions, Jobs, etc. WE DESERVE BETTER!! It's Time for Change! I’m Tamie Wilson running for US Congress to represent Ohio’s 4th Congressional District. I’m running to deliver real results to improve the Economy, Education, Healthcare, & Immigration. I am not in office yet, but I am: ✅ Writing 10 bills to sdvocate for ALL people: Veterans, Seniors, Workers, Women, Minorities, etc. ✅ Working to improve the economy and immigration issues ✅ Protect ALL of our rights! ✅ Working with companies to bring jobs with higher pay and benefits to the district ✅ Working with builders to build affordable housing ✅ Creating plans to end food and healthcare deserts ✅ Address Criminal Justice Reform and programs to reduce recidivism ✅ Address the addiction crisis in Ohio and America ✅ Creating programs to end homelessness We Deserve Better A Vote for me is a Vote for you and your family. Vote Tamie Wilson for US Congress",,A Vote for me is a Vote for you and your family. Vote Tamie Wilson for US Congress,,"We've paid Jordan $3 million, but he voted against 10,000 jobs paying us $100,000 a year. Jordan claims to support veterans, but he voted against the Pack Act. Healthcare for Afghan vets exposed to toxic burn pits and Vietnam vets exposed to Agent Orange. Jordan claims to support farmers, but voted against every farm bill for the past 17 years. Jordan claims to support seniors, but voted against affordable healthcare, a lower prescription cost, and $35 insulin. Vote Tammy Wilson for US Congress. I'm Tammy Wilson and I proved this message.",JIM JORDAN JIM JORDAN. VOTED AGAINST JIM JORDAN. VOTED AGAINST. JOBS ARMY JIM JORDAN. ARMY JIM JORDAN. VOTED. AGAINST JIM JORDAN. VOTED. AGAINST. ER RANS JIM JORDAN. VOTED. AGAINST. VET ERANS JIM JORDAN. VOTED AGAINST. FA JIM JORDAN. VOTED AGAINST. ERS JIM JORDAN. AGAINST JIM JORDAN. VOTED. AGAINST. DRS. SEA JIM JORDAN. VOTED. AGAINST. SEN IORS TAMIE WILSON. for. US CONGRESS. VOTE. TAMIE. WILSON. WORKING FOR US. APPROVED BY TAMIE WILSON. PAID FOR BY TAMIE WILSON FOR US
x_1007965807640950,1,0,0,0,0,0,0,0,0,Ted Cruz,TED CRUZ FOR SENATE,"KEEP TEXAS, TEXAS! 🇺🇸",secure.winred.com,Rush Support To Ted Cruz To SAVE Texas From The Democrats,We can’t take ANYTHING for granted this year… The Lone Star State needs YOU! Step up today. We need EVERY conservative patriot here in Texas on board to hold the line.,,"2024 TED CRUZ NEEDS YOUR HELP SAVING TEXAS FROM THE RADICAL LEFT RUSH SUPPORT >> > TEDCRUZ KEEP TEXAS , TEXAS - PAID FOR BY TED CRUZ FOR SENATE | 2024 TED CRUZ NEEDS YOUR HELP SAVING TEXAS FROM THE RADICAL LEFT RUSH SUPPORT >>> > TEDCRUZ KEEP TEXAS , TEXAS- PAID FOR BY TED CRUZ FOR SENATE | 2024 TED CRUZ NEEDS YOUR HELP SAVING TEXAS FROM THE RADICAL LEFT RUSH SUPPORT >>> TEDCRUZ KEEP TEXAS , TEXAS PAID FOR BY TED CRUZ FOR SENATE | 2024 TED CRUZ NEEDS YOUR HELP SAVING TEXAS FROM THE RADICAL LEFT RUSH SUPPORT >>> TEDCRUZ KEEP TEXAS , TEXAS - PAID FOR BY TED CRUZ FOR SENATE"
x_1010537454176635,0,0,0,0,0,0,0,1,1,American Bridge 21st Century,AB PAC,,cantgobackwi.com,,,"took an oath to support and defend the Constitution of the United States against all enemies foreign and domestic. Donald Trump took the same oath I did. I saw the invasion of the US capital. Donald Trump's actions betrayed his oath. With Donald Trump, my big fear is what comes next.","Joel. Naval Office Joel. Naval Officer Ret.. Wisconsin. NOT A PAID ACTOR THIS IMAGE IS NOT INTENDED TO IMPLY. DEPARTMENT OF DEFENSE OR US NAVY ENDORSEMENT NOT INTENDED TO IMPLY. DEPARTMENT OF DEFENSE OR NAVY ENDORSEMENT. THIS IMAGE NOT INTENDED TO IMPLY. DEPARTMENT OF DEFENSE OR US NAVY ENDORSEMENT. ION OF DONALD TRUMP 2021 2020 BY AB PAC. NOT AUTHORIZED. BY ANY CANDIDATE OR 6th, 2020. PAID FOR BY AB PAC. WWW.AMERICANBRIDGEPAC.ORG, NOT AUTHORIZED. BY ANY CANDIDATE OR COMMITTEE Wisconsin:. WE CAN'T GO BACK.. cantgobackwi.com. PAID FOR BY AB PAC. NOT AUTHORIZED. BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE"
x_1010820257203812,1,0,0,1,0,0,0,0,0,David Kim,DAVID KIM FOR CONGRESS - CA34,"Over 130 volunteers showed up for our community picnic last Sunday! This campaign is growing strong, and we need YOUR help to WIN in November and defeat my AIPAC-backed opponent. I'm running for U.S. Congress in California's 34th District to win back power for the people and advocate for a full and permanent ceasefire in Gaza, an end to genocide and an end to the occupation. My name is David Kim, I'm a children’s court attorney, activist and former neighborhood board council member. I ran last election cycle for the same seat, and received 49% of the general election votes against the corporate-backed incumbent. I advanced from the primary and will be facing him again in the general election on November 5th. We can’t wait any longer – we need big, bold change that gets folks back on their feet and stops our complicity in atrocities like what's happening in Palestine. Please contribute today to help us win in November!",secure.actblue.com,Help power this team >>,,"A-pack, I'm coming to tear your kingdom down.","""""""""AIPAC-I'm coming to tear. your kingdom down!"""""""" SH. """"""""AIPAC-I'm coming to tear. your kingdom down!"""""""" R. SH. ESS. """"""""AIPAC-I'm coming to tear. your kingdom down!"""""""" H. """"""""AIPAC-I'm coming to tear. your kingdom down!"""""""" DAVID. KIM. DAVID. DAVID. DAVID. DAVID. KIM. KIM. KIM. DAVID. KIM. DA. DAVID. DAVID. KIM. DAVID. DAVID. KIM. DAVID. KIM. KIM. KIM. Hu DAVID. KIM. DAVID. DAVID. KIM. DAVID. DAVID. KIM. DAVID. KIM. KIM. KIM. KIM. DA. DAVID. DAVID. DAVID. KIM. DAVID. DAVID. KIM. DAVID. DAVID. KIM. KIM. KIM. Hundreds of volunteers are. turning out to defeat AIPAC in LA. KIM. DAVID. KIM. DAVID. DAVID. KIM. KIM. KIM. KIM. DAVID. DAVID. KIM. DAVID. DAVID. KIM. DAVID. DAVID. KIM. KIM. KIM. Hundreds of volunteers are. turning out to defeat AIPAC in LA. KIM. KIM. DAVID. KIM. DAVID. DAVID. KIM. DAVID. DAVID. KIM. DAVID. KIM. DAVID. KIM. KIM. Hundreds of volunteers are. turning out to defeat AIPAC in LA. N. DAVID KIM. D. They're supporting David Kim,. a child dep. FOR. - - DAV. I i. They're supporting David Kim,. a child dependency attorney. FOR. running for US They're supporting David Kim,. a child dependency attorney. running for US AN. They're supporting David Kim,. K. a child dependency attorney. FOR. running for US Congress. A. They're supporting David Kim,. a child dependency attorney. CONGRESS. running for US LOS Angel. """""""". """""""". Town Hall. own Hall. Los Angeles. TRACK. David's opponent has taken. over $220,000 from AIPAC. an LOS Angel. COMPROMISED. THIS FUNDED BY FOREIGN INTERESTS. """""""". JIMMY. GOMEZ. Town Hall. own Hall. Los Angeles. Party: Democratic. Nov. 5th. to vote by Oct.. TRACK. AIPAC. David's opponent has taken. over $220,000 from AIPAC. and other pro-Israel groups LOS. COMPROMISED. THIS REPRESENTATIVE IS FUNDED BY FOREIGN INTERESTS. JIMMY. Town Hall. GOMEZ. District: CA-34. Party: Democratic. Election Date: Nov. 5th. Register to vote by Oct. 21st!. TRACK. David's opponent has taken. over $220,000 from AIPAC. and other pro-Israel groups COMPROMISED. THIS REPRESENTATIVE IS FUNDED BY FOREIGN INTERESTS. JIMMY. GOMEZ. District: CA-34. Party: Democratic. Election Date: Nov. 5th. Register to vote by Oct. 21st!. David's opponent has taken. over $220,000 from AIPAC. and other pro-Israel groups But D OR. But David won 49% of. the vote in 2022. DAVID. KiM. FOR. by. DAVID. KiM. FOR CONGRESS. 2024. Kim. del de. DAVID. - -. Let's win in November. 2024. FOR CONGRESS. by November. DAVID. KiM. FOR CONGRESS. 2024. ¡Vota antes del 5 de noviembre!. DAVID. Let's win in November. DAVID. FOR CONGRESS 2024. Donate $25 today to put a. voice for peace in Congress. DAVID. FOR CONGRESS 2024. Donate $25 today to put a. voice for peace in Congress.. Learn more at. www.DavidKimForCA.c DAVID. FOR CONGRESS 2024. Donate $25 today to put a. voice for peace in Congress.. Learn more at. www.DavidKimForCA.com"
