ad_id,DONATE,CONTACT,PURCHASE,GOTV,EVENT,POLL,GATHERINFO,LEARNMORE,PRIMARY_PERSUADE,advertiser_name,ad_text,asr_text,ocr_text
CR00004300705372307457,0,0,0,0,0,0,0,0,1,HARRIS FOR PRESIDENT,Trump's Project 2025 Project 2025 is terrifying. Read it yourself to see what’s planned for Trump’s 2nd term.,,
CR00025640078583791617,0,0,0,0,0,0,0,0,1,Republican Accountability PAC,,when I saw January 6 um unfold I really just could not believe what was going on and I'm a two-time trump voter but in 2024 I will be voting for kamla Harris,"PAID FOR BY REPUBLICAN ACCOUNTABILITY PAC INC., WHICH IS BETH . VIRGINIA EX-TRUMP VOTER BETH VIRGINIA RESPONSIBLE FOR THE CONTENT OF THIS ADVERTISING. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. RA-PAC.ORG"
CR00026360756916191233,0,0,0,0,0,0,0,0,1,ROSEN FOR NEVADA,,why has Jackie Rosen been rated one of the most bipartisan and effective Senators Senator Jackie Rosen a huge change for seniors on insulin the Medicare price was capped at $35 per month because Jackie works for us,"LUGAR CENTER AND CENTER FOR EFFECTIVE LAWMAKING ROSEN HOSTS DISCUSSION, SPONSORS LEGISLATION TO REDUCE INSULIN COST FOR ALL AND EFFECTIVE LUGAR CE JACA MOST BIPARTISAN W S PAID FOR BY ROSEN FOR NEVADA, APROVED BY AIK ROSEN LUGAR CEN LAS AND at $35 per month. 2.OD FOR BY ROSEVI FOR NEVADA. APPROVED BY JACK ROSEN Senator Jacky Rosen. LUGAR CENTER PAID FOR BY ROSEN FOR NEVADA. APPROVED BY JAUK ROSAL ROSEN WORKS FOR US A huge change for seniors on insulin. LOWERING DRUG PRICES FOR SENIORS PAID FOR BY ROSEN FOR NEVADA. APPROVED JACKY NUWS The Medicare price was capped PAID FOR BY ROSEN FOR NEVADA. APPROVED BY JACKY ROSEN. JACKY ROSEN PAID FOR BY ROSEN FOR NEVADA. APPROVED BY JACKY ROSEN,"
CR00043050845209624577,0,0,0,0,0,0,0,0,1,Senate Leadership Fund,,sherid brown thinks everything's funny but look at his record men in girls locker rooms sex change surgeries for kids and government handouts to illegals shered Brown's bad votes are no joke he's way too liberal for Ohio,"ROLL CALL VOTE #96, 36/76 FOX NEWS. 2/21/24 LOCKER ROOMS PAID FOR BY SENATE LEADERSHIP FUND. NOT AUTHORIZED BY ANY CANDIDATE WAY TOO LIBERAL FOR OHIO SERIOUSLY BAD RECORD ROLL CALL VOTE #96. 36/23; FOX NEWS, 2/21/24 S. 5. INTRODUCED 6/21/23 BROWN BACKED ROLL CALL VOTE #96, 36/21, FOX NEWS, 2/21/24 SOLL CALL VOTE #77 3/73/13; ROLL CALL VOTE #263, 7/19/07. ROLL CALL VOTE #110, 3/6/21: ROLL CALL VOTE #96, 3/6/21; FOX NEWS, 2/21/24 MEN IN GIRLS' SHERROD BROWN FUNNY? BAD VOTES HANDOUTS TO ILLEGALS WSYX, 7/19/23 ROLL CALL VOTE #77, 3/23/13; ROLL CALL VOTE #263, 7/19/07 ROLL CALL VOTE S10, 3/8/21; ROLL CALL VOTE #77 3/23/13: ROLL CALL VOTE #263, 7/19/07, ROLL CALL VOTE 3/6271 ROLL CALL VOTE #96, 36/2/ FOX NEWS, 2/21/24 ROLL CAIL VOTE #77 3/23/13: ROLL CALL VOTE #263, 7/19/07: ROLL CALL VOTE 0,36/21; OR CANDIDATE'S COMMITTEE. WWW.SENATELEADERSHIPFUND.ORG ROLL CALL VOTE #96, 3/6/23; FOX NEWS, 21/21/24 ROLL CALL VOTE #77 3/23/13; ROLL CALL VOTE #263, 7/19/07. ROLL CALL VOTE #110, 3/6/21: BOLL CALL VOTE #77, 3/2313: ROL"
CR00045929366651142145,0,0,0,0,0,0,0,0,0,ALSOBROOKS FOR SENATE,,Larry Hogan vetoed legislation to expand abortion access he won't stand up for us,"PAID FOR BY ALSOBROOKS FOR SENATE VETOES BILL MARYLAND GOV. HOGAN TO EXPAND ABORTION ACCESS WUSA9, 4/8/22 MARYLANDERS TRUST ON ABORTION CAN'T HOGAN"
CR00046042066592989185,0,0,0,0,0,0,0,0,1,PRESERVE AMERICA PAC,,We can't afford. We can't afford four more years of this,"HE KNOWS KAMALA IS THE VICE PRESIDENT, RIGHT? CONSUMER PRICES +20.3% - MORTGAGE COSTS +89% CREDIT CARD DEBT +$1T BETHLEHEM, PA HARRIS WALZ PAID FOR BY PRESERVE AMERICA PAC. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. WWW.PRESERVEAMERICAPAC.COM HE KNOWS KAMALA IS THE VICE PRESIDENT, RIGHT? CONSUMER PRICES +20.3% MORTGAGE COSTS +89% CREDIT CARD DEBT +$1T BETHLEHEM, PA HARRIS WALZ PAID FOR BY PRESERVE AMERICA PAC. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. WWW.PRESERVEAMERICAPAC.COM HE KNOWS KAMALA IS THE VICE PRESIDENT, RIGHT? EDOM & EDOM CONSUMER PRICES +20.3% MORTGAGE COSTS +89% CREDIT CARD, DEBT +$1T BETHLEHEM, PA HARRIS WALZ PAID FOR BY PRESERVE AMERICA PAC. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. WWW.PRESERVEAMERICAPAC.COM HE KNOWS KAMALA IS THE VICE PRESIDENT, RIGHT? CONSUMER PRICES +20.3% MORTGAGE COSTS +89% CREDIT CARD DEBT +$1T BETHLEHEM, PA HARRIS WALZ PAID FOR BY PRESERVE AMERICA PAC. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. WWW.PRESERVE"
CR00065017988020961281,0,0,0,1,0,0,0,1,1,HARRIS FOR PRESIDENT,,7,VOTE VOTE VOTE VOTE VOTE VOTE VOTE V ELECTION DAY NOVEMBER 5 OTE VOTE VOTE VOTE VOTE VOTE VOTE V ELECTION DAY NOVEMBER 5 MAKE A PLAN TO VOTE PAID FOR BY HARRIS FOR PRESIDENT
CR00072967457089781761,0,0,0,0,0,0,0,0,1,FF PAC,,billionaires like Elon Musk are lining up behind Donald Trump take over Elon why because his tax plan will make them rich as hell CA Harris wants to cut taxes for working in middleclass Americans not billionaires in large,"PAID FOR BY F PAC HPAC ORG NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE FOOD 2024 PAID FOR BY FF PAC, FHPAC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. AND LARGE CORPORATIONS. PAID FOR BY FF PAC, FFPACORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. TF WHY? PAID FOR BY FF PAC FEPACORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. PAID FOR BA EF PAC FIPACORG NOT AUTHORIZED BY ANY CANDIDATE OR CANDIOATE'S COMMITE P AID FOR BY FF PAC FEPACORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIGATE'SCOMMIEE MAKE ARERICA GREAT AGAIN NOT BILLIONAIRES HaveN MAKE ARERICA GREAT ABAINI PAID FOR BY FF PAC, FEPAC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. F VANCE MP JUST TAKE OVER."""""""" ARE LINING UP BILLIONAIRES LIKE ELON MUSK PAID FOR BY FF PAC. FHPAC.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE. IFS MAKN AMERICA GREAT ABAIN MAKS ARERICA GREAT AGAINI HARE ARERICA GREAT AGAINI TRUMP FOR WORKING MAKE AMERICA GREAT AGAIMI AS HELL. PAID FOR BY"
CR00078486455705403393,0,0,0,0,0,0,0,0,1,TONY VARGAS FOR CONGRESS,,Los sacrificios de mis padres inmigrantes me dieron una vida mejor y siempre me enseñaron a devolver a la comunidad. Por eso me convertí en maestro y senador estatal y voté por dos de los recortes de impuestos a la propiedad más grandes. Y finiqué completamente nuestra educación pública. En el Congreso aprobaré un recorte de impuestos para la clase media y bajaré los costos de vida. Soy Tony Vargas y apruebo este mensaje.,TONY VARGAS PARA EL CONGRESO TOMSS WAREH PARA EL CONGRESO TONY VARGAS PARA EL CONGRESO Senador Tony Vargas Profesor y Senador Estatal Senador Tony Vargas Profesor y Senador Estatal Senador Tony Vargas Profesor y Senador Estatal Senador Tony Vargas Voté por los dos mayores recortes de impuestos Senador Tony Vargas Voté por los dos mayores recortes de impuestos Senador Tony Vargas триги Voté por los dos mayores recortes de impuestos Senador Tony Vargas Voté para financiar 100% de la educación Senador Tony Vargas Voté para financiar 100% de la educación Senador Tony Vargas Bajaré impuestos para la clase media Senador Tony Vargas Bajaré impuestos para la clase media Senador Tony Vargas Bajaré impuestos para la clase media Senador Tony Vargas Bajaré la costa de vida
CR00080721213088858113,0,0,0,0,0,0,0,0,1,WINSENATE,,meet Eric Hy a California Banker running for Senate here Hy is quote Under Fire over comments he made blaming single mothers for lacking morals and ethics Hy ought to look in the mirror not at moms raising kids on their own,"MORALS AND ETHICS."""""""""""""""" HOVDE IS nwest Bank. Senwest Bank: OVER COMMENTS nwest Bank ERIC nwest Bank: WholsEricHovde.com Senwest Bank. SINGLE MOTHERS FOR LACKING DAILY MAIL, 3.24.24 OVER HOVDE SSnwest Bank HOVDE IS """"""""UNDER SINGLE MOTHERS FOR DAILY DAILY MAIL, ERIC HOVDE mwest Bank. enwest Bank HOVDE IS """"""""UNDER FIRE OVER COMMENTS HE MADE BLAMING 'MORALS AND PAID FOR BY WINSENATE, WWW.WINSENATE.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATE'S COMMITTEE PAID FOR BY WINSENATE, WWWINSENATE.ORG. NOT AUTHORIZED BY ANY CANDIDATE OR CANDIDATES COMMITTEE"
