ad_id,Donate,Contact,Purchase,Vote,Event,Poll,Acquisition,Learn,Persuade
x_1000012438450011,1,0,0,0,0,0,0,0,0
x_1000038938545805,0,0,0,0,1,0,0,0,0
x_1000065808538063,0,0,0,0,0,0,0,1,1
x_1000083438337464,0,0,0,0,0,0,0,1,1
x_1000099025480593,0,0,1,0,0,0,0,0,0
x_1000109011884549,0,0,0,0,0,0,0,1,1
x_1000131568519552,0,0,0,0,0,0,0,0,0
x_1000138218814142,0,0,0,1,0,0,0,1,0
x_1000143185133392,1,0,0,0,0,0,0,0,0
x_1000155035125951,1,0,0,0,0,0,0,0,0
x_1000165465452639,1,0,0,0,0,0,0,0,0
x_1000167188555844,0,0,0,1,0,0,0,0,0
x_1000182068265881,0,0,0,0,0,0,0,0,0
x_1000190201795051,0,0,0,0,0,0,0,0,0
x_1000202778428280,1,0,0,0,0,0,0,0,0
x_1000212498225402,0,0,0,0,0,0,0,0,0
x_1000241151874177,0,0,0,0,0,0,0,1,1
x_1000257701784632,0,0,0,0,0,0,0,0,0
x_1000273541847453,0,0,0,1,0,0,0,1,0
x_1000274008499350,0,0,0,0,0,0,0,1,0
x_1000275175183253,0,0,0,0,1,0,0,0,0
x_1000279695120099,0,0,0,0,0,0,0,0,1
x_1000307768806742,1,0,0,0,0,0,0,0,0
x_1000324115198314,0,0,0,0,0,0,0,0,0
x_1000325191890797,1,0,0,0,0,0,0,0,0
x_1000342724652229,0,0,0,0,0,0,0,0,0
x_1000362527973342,0,0,0,0,0,0,0,0,1
x_1000380215175143,0,0,1,0,0,0,0,0,0
x_1000380661456684,0,0,1,0,0,0,0,0,0
x_1000388955109687,0,0,0,1,0,0,0,0,0
x_1000399041829896,0,0,0,1,0,0,0,1,1
x_1000417165206691,1,0,0,0,0,0,0,0,0
x_1000425308493557,0,0,0,0,0,0,0,1,1
x_1000426688771295,0,0,0,1,0,0,0,0,0
x_1000429028527166,0,0,0,0,0,0,0,1,1
x_1000436395183685,1,0,0,0,0,0,0,0,0
x_1000445351839871,0,0,0,1,0,0,0,1,0
x_1000447945217594,0,0,0,0,0,0,0,0,1
x_1000456435164416,1,0,0,0,0,0,0,0,0
x_1000481205186086,0,0,0,0,0,0,0,1,1
x_1000500841928342,0,0,1,0,1,0,0,0,0
x_1000502272090704,1,0,0,0,0,0,0,0,0
x_1000512788422784,1,0,0,0,1,0,0,0,0
x_1000513721000498,0,0,1,0,0,0,0,0,0
x_1000519188500770,0,0,0,1,0,0,0,1,0
x_1000525575203779,0,0,0,0,0,0,0,0,0
x_1000528591876588,0,0,0,0,0,0,0,0,0
x_1000546558417873,0,0,1,0,0,0,0,0,0
x_1000550881789460,0,0,0,0,0,0,1,0,0
x_1000559461815284,0,0,0,0,0,0,0,0,1
x_1000561101558901,1,0,0,0,0,0,0,0,0
x_1000598075168921,0,0,0,1,0,0,0,1,1
x_1000601688422842,0,0,0,1,0,0,0,1,0
x_1000613238415285,0,0,0,0,0,0,0,1,1
x_1000619775432653,1,0,0,0,0,0,0,0,0
x_1000623468429380,0,0,0,0,0,0,0,1,0
x_1000624398475540,1,0,0,0,0,0,0,0,0
x_1000709944636705,1,0,0,0,0,0,0,0,0
x_1000714641826516,0,0,0,0,0,0,0,1,1
x_1000719498471420,1,0,0,0,0,0,0,0,0
x_1000725598474883,0,0,0,0,0,0,0,1,1
x_1000729851808660,0,0,0,1,0,0,0,0,1
x_1000733655398791,0,0,0,1,0,0,0,0,0
x_1000735962066239,0,0,0,1,0,0,0,0,0
x_1000742785400042,0,0,0,0,1,0,1,0,0
x_1000746265051482,0,0,0,1,0,0,0,1,0
x_1000752248474291,0,0,1,0,0,0,0,0,0
x_1000758435082639,0,0,0,0,0,0,0,0,1
x_1000758665069383,0,0,0,0,0,0,0,0,0
x_1000761105158591,0,0,0,0,0,0,0,0,0
x_1000761648403540,0,0,1,0,0,0,0,0,0
x_1000764938486316,0,0,0,1,0,0,0,0,0
x_1000802532065568,0,0,0,1,0,0,0,0,1
x_1000804868472146,0,0,1,0,0,0,0,0,0
x_1000825798380344,0,0,0,0,0,0,0,1,0
x_1000828315129838,1,0,0,0,0,0,0,0,0
x_1000833601777207,0,0,1,0,0,0,0,0,0
x_1000834291572284,0,0,1,0,0,0,0,0,0
x_1000842465129091,0,0,0,0,0,0,0,0,1
x_1000852968721020,1,0,0,0,0,0,0,0,0
x_1000874201842201,0,0,0,1,0,0,0,1,0
x_1000882234750706,0,1,0,0,0,0,1,0,0
x_1000902481786599,0,0,0,0,0,0,0,0,1
x_1000918688277766,0,0,0,0,0,0,0,0,0
x_1000926395121717,0,0,0,0,0,0,0,0,0
x_1000949448388313,0,0,0,0,0,1,0,0,0
x_1000968935128920,0,0,0,1,0,0,0,0,0
x_1000973465109367,0,0,0,1,0,0,0,0,0
x_1000984005129629,0,0,0,0,0,0,0,0,0
x_1001007385290964,0,0,0,0,0,0,0,1,1
x_1001014084770202,0,0,1,0,0,0,0,0,0
x_1001017108432116,0,0,0,0,0,0,0,0,0
