pd_id,wmptempid,date_wmpcoded,page_name,funding_entity,search_terms,search_type,search_status,search_notes,notinaggreport,wmp_office,wmp_spontype_unclear,wmp_spontype,wmp_spontypelong,wmp_grouptype,wmp_govtorcand,wmp_notes,page_name_url,othernotes,needs_further_coding,cand_fav,cand_tar,sponsor_name,sponsor_cmag_2022,sponsor_cmag_2020,sponsor_cmag_2018,wmp_multisponsor,wmp_multiflag,wmp_fbapp,wmpid,pres_fecid,pres_cycle,sen_fecid,sen_cycle,hse_fecid,hse_cycle,sen_state,hse_state,pres_party,sen_party,hse_party,pres_cdstatus,sen_cdstatus,hse_cdstatus,hse_district,db_cycle,db_party,db_id,NIMP_personid,db_cdstatus,db_state,db_office,wmp_pres,wmp_sen,wmp_hse,wmp_gov,wmp_db,cmte_fecid,cmte_party,party_all,matchtype,matchtypemore,disclosure,wmp_disagree,pd_id_match,ontv2022_withother,old_name,ontv2022,min_date,sponsor_bywmp,online_advertiser_name,id,typetext_display,outgrptype,outgrptype2,candname,candname2,feccmteid,feccmteid2,catshort,catshort2,pagenamematch,party,party2,party_final,suppopp,suppopp2,mark,notes,amount_spent,number_of_ads,dedupeorgmatch,dbmatch,dbmatch2,blio,blio2,candgender,candgender2,candrace,candrace2,cid,cid2,confidence,discdate,discdate2,disclose,disclose2,ein,ein2,enddate,enddate2,industry,industry2,orgid,orgid2,realcode,realcode2,ultorg,ultorg2,viewpt,viewpt2,viewpt_final,fec_compare,crp_candidate_name,fbentity_2020,type_cmag,type_scsp
pd-847395271958564-3,24617,11/10/2022,"Avram Patt, State Representative, Lamoille-Washington District","""Patt for the House""",,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/847395271958564,,0,,,"""PATT FOR THE HOUSE""","""PATT FOR THE HOUSE""",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-107002681488876-1,19675,9/5/2022,"Vote Team O'Scanlon, Scharfenberger, Flynn","""Vicky Flynn for Assembly,"" ""Scharfenberger for Assembly,"" & ""O'Scanlon for Senate""",,,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/107002681488876,,0,"""VICKY FLYNN FOR ASSEMBLY,"" ""SCHARFENBERGER FOR ASSEMBLY,"" & ""O'SCANLON FOR SENATE""",,"""VICKY FLYNN FOR ASSEMBLY,"" ""SCHARFENBERGER FOR ASSEMBLY,"" & ""O'SCANLON FOR SENATE""","""VICKY FLYNN FOR ASSEMBLY,"" ""SCHARFENBERGER FOR ASSEMBLY,"" & ""O'SCANLON FOR SENATE""",,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-106351887693879-3,22848,10/17/2022,Mattera For State Senate,2022 Friends of Mario Mattera,senate,,"Not a match, despite search hit",,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/106351887693879,,0,,,2022 FRIENDS OF MARIO MATTERA,2022 FRIENDS OF MARIO MATTERA,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-100978885915249-1,30103,11/18/2022,"A.M. ""Hupp"" Huppmann","A.M. ""Hup"" Huppmann, Republican, for Nassau County Commission, District 2.",,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/100978885915249,,0,,,"A.M. ""HUP"" HUPPMANN, REPUBLICAN, FOR NASSAU COUNTY COMMISSION, DISTRICT 2.","A.M. ""HUP"" HUPPMANN, REPUBLICAN, FOR NASSAU COUNTY COMMISSION, DISTRICT 2.",,,0,0,0,,,,,,,,,,,,,,,,,,REP,,,,,,0,0,0,0,1,,,REP,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-100978885915249-2,29798,11/18/2022,"A.M. ""Hupp"" Huppmann","A.M. ""Hupp"" Huppmann, Republican, for Nassau County Commission, District 2.",,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/100978885915249,,0,,,"A.M. ""HUPP"" HUPPMANN, REPUBLICAN, FOR NASSAU COUNTY COMMISSION, DISTRICT 2.","A.M. ""HUPP"" HUPPMANN, REPUBLICAN, FOR NASSAU COUNTY COMMISSION, DISTRICT 2.",,,0,0,0,,,,,,,,,,,,,,,,,,REP,,,,,,0,0,0,0,1,,,REP,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-100262552474135-1,25734,11/10/2022,Aaron Lee for MS HOUSE 4,Aaron Payton Lee,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/100262552474135,,0,,,AARON PAYTON LEE,AARON PAYTON LEE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,MS,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-101955805799397-1,24202,11/10/2022,Aaron Sepkowski for PA State Representative,Aaron Sepkowski,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/101955805799397,,0,,,AARON SEPKOWSKI,AARON SEPKOWSKI,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,PA,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-102484439083488-1,31618,11/18/2022,Morgan Evers and Aaron Stayman for Democratic State Committee,Aaron Stayman for the Bronx,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/102484439083488,,0,,,AARON STAYMAN FOR THE BRONX,AARON STAYMAN FOR THE BRONX,,,0,0,0,,,,,,,,,,,,,,,,,,DEM,,,,,,0,0,0,0,1,,,DEM,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-111094004705461-3,20315,9/5/2022,Aaron Woods for Senate,These ads ran without a disclaimer,,,"Not a match, despite search hit",,0,down ballot,1,campaign,"Unclear, included in candidate total",,1,,https://www.facebook.com/111094004705461,,0,AARON WOODS FOR SENATE,,AARON WOODS FOR SENATE,AARON WOODS FOR SENATE,,,0,0,0,,,,,,,,,,,,,,,,,,MISSING,,,,,,0,0,0,0,1,,,MISSING,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pd-111523537122063-1,16036,11/11/2021,Nelson Abbott,Committee to Elect Nelson Abbott,,,,,0,down ballot,0,campaign,campaign,,1,,https://www.facebook.com/111523537122063,,0,"ABBOTT, NELSON",,"ABBOTT, NELSON","ABBOTT, NELSON","ABBOTT, NELSON",,0,0,0,,,,,,,,,,,,,,,,,2022,REPUBLICAN,284742,.,,UT,HOUSE DISTRICT 060,0,0,0,0,1,,,REP,,,,,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,
