cand_name,cand_id,cand_office,cand_office_st,cand_office_dist,cand_party_affiliation,cand_incumbent_challenger_open_s,full_name,first_name,last_name
"HILL, SID",S0AK00162,S,AK,0,NNE,CHALLENGER,Sid Hill,Sid,Hill
"BOOZMAN, SEN. JOHN",S0AR00150,S,AR,0,REP,INCUMBENT,John Boozman,John,Boozman
"WHITFIELD, DANIEL ALLEN",S0AR00218,S,AR,0,DEM,CHALLENGER,Daniel Whitfield,Daniel,Whitfield
"KELLY, MARK",S0AZ00350,S,AZ,0,DEM,INCUMBENT,Mark Kelly,Kelly,Mark
"BRADFORD, DAPHNE",S0CA00496,S,CA,0,IND,CHALLENGER,Daphne Bradford,Daphne,Bradford
"FABRICANT, DANNY",S0CA00504,S,CA,0,REP,CHALLENGER,Danny Fabricant,Danny,Fabricant
"BENNET, MICHAEL F.",S0CO00211,S,CO,0,DEM,INCUMBENT,Michael Bennet,Michael,Bennet
"BLUMENTHAL, RICHARD",S0CT00177,S,CT,0,DEM,INCUMBENT,Richard Blumenthal,Richard,Blumenthal
"RUBIO, MARCO",S0FL00338,S,FL,0,REP,INCUMBENT,Marco Rubio,Marco,Rubio
"KNEPPER, HOWARD",S0FL00544,S,FL,0,W,CHALLENGER,Howard Knepper,Howard,Knepper
"DEJESUS, MARCKEITH",S0GA00377,S,GA,0,DEM,CHALLENGER,Marckeith Dejesus,Marckeith,Dejesus
"JOHNSON-SHEALEY, TAMARA",S0GA00484,S,GA,0,DEM,CHALLENGER,Tamara Johnson-Shealey,Tamara,Johnson-Shealey
"WARNOCK, RAPHAEL",S0GA00559,S,GA,0,DEM,INCUMBENT,Raphael Warnock,Raphael,Warnock
"ROCO, JOHN",S0HI00183,S,HI,,REP,,John Roco,John,Roco
"GRASSLEY, CHARLES E",S0IA00028,S,IA,0,REP,INCUMBENT,Chuck Grassley,Chuck,Grassley
"FLEMING, NATALIE M",S0ID00172,S,ID,0,REP,CHALLENGER,Natalie Fleming,Natalie,Fleming
"HUBBARD, PEGGY",S0IL00501,S,IL,0,REP,CHALLENGER,Peggy Hubbard,Peggy,Hubbard
"VLAKANCIC, CONNOR",S0IL00592,S,IL,0,REP,,Connor Vlakancic,Connor,Vlakancic
"MORAN, JERRY",S0KS00091,S,KS,0,REP,INCUMBENT,Jerry Moran,Jerry,Moran
"WIESNER, PATRICK",S0KS00166,S,KS,0,DEM,,Patrick Wiesner,Patrick,Wiesner
"PAUL, RAND",S0KY00156,S,KY,0,REP,INCUMBENT,Rand Paul,Rand,Paul
"BOOKER, CHARLES",S0KY00420,S,KY,0,DEM,CHALLENGER,Charles Booker,Charles,Booker
"JOHN, XAN MR.",S0LA00378,S,LA,0,OTH,CHALLENGER,Xan John,Xan,John
"SIGLER, AARON",S0LA00394,S,LA,,LIB,,Aaron Sigler,Aaron,Sigler
"DINE, JONATHAN",S0MO00340,S,MO,,LIB,,Jonathan Dine,Jonathan,Dine
"BRAY, SHANNON",S0NC00335,S,NC,0,LIB,OPEN,Shannon Bray,Shannon,Bray
"SMITH, ERICA DANETTE",S0NC00343,S,NC,0,DEM,OPEN,Erica Danette Smith,Erica Danette,Smith
"HOEVEN, JOHN",S0ND00093,S,ND,0,REP,INCUMBENT,John Hoeven,John,Hoeven
"BELOIN , GERARD",S0NH00284,S,NH,,REP,,Gerald Beloin,Gerald,Beloin
"BOLDUC, DONALD C.",S0NH00326,S,NH,0,REP,CHALLENGER,Don Bolduc,Don,Bolduc
"KRAUTMANN, PAUL J",S0NH00359,S,NH,,DEM,,Paul Krautmann,Paul,Krautmann
"SALEM, KHALED MR",S0NY00667,S,NY,0,DEM,CHALLENGER,Khaled Salem,Khaled,Salem
"ROGERS, BEVON",S0OK00354,S,OK,0,DEM,CHALLENGER,Bevon Rogers,Bevon,Rogers
"TOMPKINS, JOHN",S0OK00453,S,OK,,REP,CHALLENGER,John Tompkins,John,Tompkins
"TAHER, IBRAHIM",S0OR00329,S,OR,0,REP,CHALLENGER,Ibrahim Taher,Ibrahim,Taher
"LEE, MIKE",S0UT00165,S,UT,0,REP,INCUMBENT,Mike Lee,Mike,Lee
"FRIEDBAUM, JEREMY",S0UT00215,S,UT,0,REP,CHALLENGER,Jeremy Friedbaum,Jeremy,Friedbaum
"BRUNSON, LOY",S0UT00231,S,UT,0,REP,CHALLENGER,Loy Brunson,Loy,Brunson
"JOHNSON, RON HAROLD MR.",S0WI00197,S,WI,0,REP,INCUMBENT,Ron Johnson,Ron,Johnson
"NELSON, TOM",S0WI00247,S,WI,0,DEM,OPEN,Tom Nelson,Tom,Nelson
"SPEIGHTS, KARL W MR",S2AK00119,S,AK,0,REP,CHALLENGER,Karl Speights,Karl,Speights
"TSHIBAKA, KELLY",S2AK00127,S,AK,0,REP,CHALLENGER,Kelly Tshibaka,Kelly,Tshibaka
"LEE, HUHNKIE",S2AK00135,S,AK,0,UN,CHALLENGER,Huhnkie Lee,Huhnkie,Lee
"DARDEN, DUSTIN",S2AK00143,S,AK,0,AIP,CHALLENGER,Dustin Darden,Dustin,Darden
"LITTLE, SAMUAL",S2AK00150,S,AK,0,REP,CHALLENGER,Samual Little,Samual,Little
"THORNE, SEAN MICHAEL",S2AK00168,S,AK,0,LIB,CHALLENGER,Sean Michael Thorne,Sean Michael,Thorne
"STEPHENS, JOE TRUMP AKA NOT MURKOWSKI",S2AK00176,S,AK,0,AKI,CHALLENGER,Joe Stephens,Joe,Stephens
"GRAY-JACKSON, ELVI",S2AK00184,S,AK,0,DEM,CHALLENGER,Elvi Gray-Jackson,Elvi,Gray-Jackson
"TAYLOR, IVAN R",S2AK00192,S,AK,0,DEM,CHALLENGER,Ivan Taylor,Ivan,Taylor
"SEGOVIA, CARMEN",S2AK00200,S,AK,0,W,,Carmen Segovia,Carmen,Segovia
"GUNGURSTEIN, SHOSHANA",S2AK00218,S,AK,0,IND,,Shoshana Gungurstein,Shoshana,Gungurstein
"CHESBRO, PATRICIA",S2AK00226,S,AK,0,DEM,,Patricia Chesbro,Patricia,Chesbro
"MERRILL, SAMUEL ALLEN",S2AK00234,S,AK,0,REP,,Samuel Allen Merrill,Samuel Allen,Merrill
"KELLEY, BUZZ A.",S2AK00242,S,AK,,REP,,Buzz Kelley,Buzz,Kelley
"NOLIN, PAT L.",S2AK00259,S,AK,,REP,,Pat Nolin,Pat,Nolin
"SCHEISS, JOHN",S2AK00267,S,AK,,REP,,John Scheiss,John,Scheiss
"SHORKEY, KENDALL L.",S2AK00275,S,AK,,REP,,Kendall Shorkey,Kendall,Shorkey
"KELLER, JEREMY",S2AK00283,S,AK,,N,,Jeremy Keller,Jeremy,Keller
"DARDEN, DAVE H.",S2AK00291,S,AK,,UND,,Dave Darden,Dave,Darden
"DEAN, BRANDAUN",S2AL00111,S,AL,,DEM,OPEN,Brandaun Dean,Brandaun,Dean
"FLORY, JENNIFER LYNN MRS.",S2AL00129,S,AL,0,REP,CHALLENGER,Jennifer Lynn Flory,Jennifer Lynn,Flory
"BLANCHARD, LYNDA",S2AL00137,S,AL,0,REP,OPEN,Lynda Blanchard,Lynda,Blanchard
"BRITT, KATIE BOYD",S2AL00145,S,AL,0,REP,OPEN,Katie Boyd Britt,Katie Boyd,Britt
"TAYLOR, JESSICA",S2AL00152,S,AL,0,REP,OPEN,Jessica Taylor,Jessica,Taylor
"SCHAFER, JACOB MARC",S2AL00160,S,AL,0,REP,OPEN,Jacob Marc Schafer,Jacob Marc,Schafer
"DUNN, MICHAEL BLAKE",S2AL00178,S,AL,0,REP,OPEN,Michael Blake Dunn,Michael Blake,Dunn
"SANDERS, JARMAL JABBAR REV",S2AL00186,S,AL,0,UN,OPEN,Jarmal Jabbar Sander,Jarmal Jabbar,Sander
"BODDIE, LILLIE",S2AL00194,S,AL,0,REP,OPEN,Lillie Boddie,Lillie,Boddie
"DURANT, MICHAEL",S2AL00202,S,AL,0,REP,OPEN,Michael Durant,Michael,Durant
"BOWERS, RICHARD ADAM MR.",S2AL00210,S,AL,0,NPA,OPEN,Richard Adam Bowers,Richard Adam,Bowers
"DUPRIEST, KARLA",S2AL00228,S,AL,0,REP,OPEN,Karla Dupriest,Karla,Dupriest
"JACKSON, LANNY EDWARD MR.",S2AL00236,S,AL,0,DEM,OPEN,Lanny Edward Jackson,Lanny Edward,Jackson
"PRIDMORE, JAY P",S2AL00244,S,AL,0,REP,OPEN,Jay Pridmore,Jay,Pridmore
"BOYD, WILLIE EUGENE DR. JR.",S2AL00251,S,AL,0,DEM,OPEN,Willie Eugene Jr. Boyd,Willie Eugene Jr.,Boyd
"WILLIAMS, VICTOR MAGA PROF.",S2AL00277,S,AL,0,UNK,OPEN,Victor Williams,Victor,Williams
"FLOWERS, BRENT",S2AL00285,S,AL,0,DEM,OPEN,Brent Flowers,Brent,Flowers
"SOPHOCLEUS, JOHN",S2AL00293,S,AL,,LIB,,John Sophocleus,John,Sophocleus
"LOFTIS, HEATH PASTOR",S2AR00073,S,AR,0,REP,CHALLENGER,Heath Loftis,Heath,Loftis
"MORGAN, JAN",S2AR00081,S,AR,0,REP,CHALLENGER,Jan Morgan,Jan,Morgan
"DEEL, MICHAEL",S2AR00099,S,AR,0,REP,CHALLENGER,Michael Deel,Michael,Deel
"BEQUETTE, JAKE MR.",S2AR00107,S,AR,0,REP,CHALLENGER,Jake Bequette,Jake,Bequette
"JAMES, NATALIE",S2AR00115,S,AR,0,DEM,CHALLENGER,Natalie James,Natalie,James
"FOSTER, JACK EDWARD",S2AR00123,S,AR,0,DEM,CHALLENGER,Jack Edward Foster,Jack Edward,Foster
"CATES, KENNETH",S2AR00131,S,AR,,LIB,,Kenneth Cates,Kenneth,Cates
"SHIRRELL, STUART F",S2AR00149,S,AR,,IND,,Stuart Shirrell,Stuart,Shirrell
"GANT, RICHARD 'NAP'",S2AR00156,S,AR,,WI,,Nap Gant,Nap,Gant
"GARNER, JAMES",S2AR00164,S,AR,,WI,,James Garner,James,Garner
"VICTOR, MARC J",S2AZ00299,S,AZ,0,LIB,CHALLENGER,Marc Victor,Marc,Victor
"PAVEZA, ROBERT",S2AZ00323,S,AZ,0,REP,CHALLENGER,Robert Paveza,Robert,Paveza
"LAMON, JIM MR",S2AZ00331,S,AZ,0,REP,CHALLENGER,Jim Lamon,Jim,Lamon
